fixture_id,season_id,y_true,y_pred,p_home,p_draw,p_away
152781768,6435,D,D,0.294343230705795,0.5421520917053566,0.16350467758884843
152781770,6435,D,H,0.38493814369573937,0.3646861577408,0.2503756985634606
152908782,6435,D,D,0.2868113352955289,0.4482583624553331,0.2649303022491379
152908783,6484,H,H,0.45025596369637566,0.2133972263315238,0.3363468099721007
152908785,6435,H,H,0.4384459541142126,0.30370084415299853,0.2578532017327889
153121348,6526,D,H,0.4387594003635941,0.17541295651584773,0.385827643120558
153121349,6526,D,H,0.38879826387781663,0.31200516703567077,0.29919656908651265
153121354,6526,D,D,0.2584763837389644,0.4549534655522868,0.28657015070874886
153121355,6526,D,A,0.1855428104454442,0.4041470431368002,0.41031014641775554
153121356,6484,A,H,0.49041307346790936,0.16818381538046437,0.3414031111516262
153121359,6484,H,H,0.47175516742034274,0.07101347296235988,0.4572313596172974
153121360,6484,A,H,0.41813346685916003,0.23796235451721448,0.34390417862362543
153121361,6484,H,H,0.6621229808695395,0.05431812068861775,0.28355889844184273
153121362,6484,A,A,0.17784914538221006,0.35154046359434193,0.47061039102344804
153121364,6435,D,H,0.4541070320505475,0.3914191096106886,0.15447385833876387
153121365,6484,D,H,0.43335218984697654,0.19725225605360455,0.3693955540994189
153121366,6435,A,D,0.2779291058273656,0.45833307914994226,0.2637378150226921
153121367,6527,H,H,0.5831334903125083,0.04130406490676716,0.3755624447807246
153121371,6527,A,A,0.41491361660215104,0.12096413291305981,0.4641222504847891
153121372,6527,A,H,0.4537621179013938,0.11391831986047872,0.43231956223812734
153121383,6527,A,A,0.18651837818928352,0.21546237767411464,0.5980192441366019
153503374,6526,H,D,0.3081628183143214,0.3845129300472681,0.3073242516384104
153503375,6526,D,H,0.4207410660289458,0.3640331978429517,0.2152257361281026
153503376,6484,A,A,0.2053920692006284,0.2261608848378197,0.5684470459615518
153503377,6484,H,D,0.2684412670528283,0.42303961232157644,0.30851912062559533
153503379,6435,D,D,0.18082683830220345,0.49716043515106495,0.3220127265467316
153503380,6526,H,H,0.5041109764923357,0.2621741540431706,0.23371486946449357
153503381,6526,D,D,0.2653960203435817,0.5369542567696453,0.19764972288677302
153503382,6527,H,A,0.31343678401106834,0.2991032408462837,0.38745997514264796
153503385,6435,A,D,0.2952096430747675,0.4817329332087869,0.22305742371644566
153503389,6527,A,H,0.3595617740529841,0.34514780101207543,0.29529042493494045
153503390,6527,D,A,0.3076974283276736,0.2207893337998535,0.4715132378724729
153503391,6527,D,A,0.36158992418876845,0.270743288206801,0.36766678760443056
153503392,6527,H,A,0.3539004590836166,0.28776099284681517,0.3583385480695682
153799321,6435,D,A,0.28326726282389525,0.2821297684986822,0.4346029686774226
153799322,6484,D,D,0.36613651837666833,0.44067008526230134,0.1931933963610305
153799323,6526,H,H,0.4438388461374931,0.31698519918624085,0.23917595467626607
153799333,6526,A,A,0.19114147655741637,0.3080357882777622,0.5008227351648215
153799336,6435,H,H,0.4301391616507101,0.29893443807677467,0.2709264002725153
154591797,6597,A,D,0.1634827590756489,0.496600899956562,0.339916340967789
154830973,6597,H,H,0.4341582443007599,0.16726444117614916,0.3985773145230909
154830974,6597,D,H,0.5423654951882879,0.13790972695590958,0.3197247778558025
154830975,6597,H,H,0.5921352873364069,0.19293566134424536,0.2149290513193478
154830976,6597,H,H,0.5442902364359037,0.17423697072243186,0.2814727928416645
154830980,6597,D,H,0.4428224600630397,0.3273817781832011,0.22979576175375926
154830984,6597,H,D,0.21330948667131344,0.41633118464446156,0.37035932868422494
155290854,6435,H,H,0.48227670243655657,0.31953594943250335,0.19818734813093997
155290856,6597,A,A,0.27508938769092606,0.3487388820205331,0.376171730288541
155290863,6435,A,H,0.4900995343672614,0.25431570545572735,0.25558476017701137
155290864,6435,D,H,0.34381084348452823,0.32591978942915795,0.33026936708631377
155290865,6435,H,H,0.46996049919469823,0.24990624007195994,0.28013326073334177
155290866,6435,H,D,0.34570876721936883,0.3764287495025561,0.2778624832780751
155290867,6435,A,D,0.3315119059281287,0.41010494019077864,0.2583831538810927
155290868,6435,H,H,0.5150867283320221,0.29860454360695143,0.18630872806102658
155658082,6597,A,H,0.36559844671696795,0.2719247068821304,0.3624768464009016
155658106,6435,H,D,0.2926874662931723,0.5523313173883043,0.1549812163185233
155658107,6435,D,D,0.22836657851763428,0.5578706774088841,0.2137627440734817
155658109,6435,H,H,0.40433350142621255,0.25040845205400425,0.34525804651978315
156528090,6527,H,H,0.44467260959023114,0.2039689119613068,0.351358478448462
156559576,6597,H,H,0.5402196236747273,0.33024327886720634,0.12953709745806632
156783614,6484,H,H,0.41767172484828147,0.3793462289296236,0.20298204622209498
156784040,6484,A,H,0.7709422860699086,0.15257271747680595,0.07648499645328549
156784045,6484,H,H,0.5009417228448282,0.24180267372324896,0.2572556034319229
156784051,6484,H,H,0.7753364241265014,0.07246965314645558,0.15219392272704307
156784053,6484,A,H,0.41998906067541536,0.3229256126099256,0.25708532671465917
156784055,6484,H,H,0.5435921744763799,0.20480019049122078,0.25160763503239936
156784608,6527,A,A,0.26111693768258537,0.20651132590639865,0.5323717364110159
156784989,6484,A,A,0.11313450266760848,0.22310296248654374,0.6637625348458478
156784999,6526,H,D,0.21874841066923553,0.39117255387972255,0.39007903545104194
156785000,6526,H,A,0.2710873965686252,0.3547969132626662,0.37411569016870866
156785012,6527,H,H,0.5253979632008507,0.26241955221892105,0.21218248458022826
156785132,6526,H,H,0.44079916831498683,0.19948919715049765,0.35971163453451543
156785133,6526,A,D,0.24742944599231034,0.5670330881262138,0.1855374658814759
156785143,6527,A,H,0.5426350074107924,0.28443308152553337,0.1729319110636742
156833294,6597,A,A,0.41140653357862234,0.11781154675310512,0.47078191966827265
156833297,6597,A,A,0.34221358727783935,0.17233754500238488,0.48544886771977586
156833298,6597,A,H,0.5567913355339666,0.21277418417681584,0.23043448028921748
156833299,6597,D,H,0.38458050743878036,0.24968634917510993,0.3657331433861097
156833300,6597,H,H,0.4220035514203437,0.2321560759354505,0.3458403726442058
156833301,6597,D,A,0.33486812742037536,0.1643270390447311,0.5008048335348935
156833303,6526,H,D,0.16221053109118003,0.5245457513487329,0.31324371756008706
156833307,6484,H,H,0.6066929887792066,0.09067770993346959,0.3026293012873236
156833310,6484,A,D,0.16225418170600037,0.6221872333638744,0.21555858493012517
156833311,6484,D,A,0.17417239920380714,0.2917417230383972,0.5340858777577956
157282140,6527,H,H,0.633591963839435,0.2364356974648604,0.1299723386957047
157282604,6527,H,A,0.2683014515089295,0.30673039717702333,0.42496815131404725
157282605,6527,H,H,0.45363140971888066,0.34181964356960787,0.20454894671151141
157282608,6527,D,D,0.31931980222129863,0.3927955524418384,0.2878846453368629
157282771,6526,D,H,0.6505196226425484,0.2083665411473549,0.1411138362100968
157282888,6527,D,H,0.4906512767769113,0.3210596280551257,0.18828909516796294
157282889,6526,H,A,0.35578686007679317,0.2248126189260864,0.41940052099712044
157282890,6526,A,H,0.42286541593056687,0.22277692360017162,0.3543576604692615
157334390,6526,A,A,0.2506783248709493,0.37147867529219897,0.37784299983685177
157334392,6597,H,H,0.5465674891251641,0.2260383117043524,0.22739419917048356
157334395,6597,H,H,0.6199013760995209,0.1845135393719753,0.19558508452850387
157706664,6526,D,H,0.5250812094282667,0.3426551721206191,0.13226361845111417
157706724,6435,H,A,0.2724190571104426,0.21731061187036227,0.5102703310191951
157750800,6526,D,A,0.1132049256084136,0.38037747082048595,0.5064176035711004
157750801,6527,A,A,0.04517167742147419,0.14197467225710816,0.8128536503214177
157750802,6526,A,D,0.2502520586777812,0.3778847881191544,0.3718631532030644
157750803,6526,D,H,0.5515536958386978,0.2422376654517886,0.20620863870951356
157750804,6527,H,H,0.40510972662078,0.3241837680611878,0.2707065053180321
157750805,6484,A,A,0.2233172576884164,0.3440057058644288,0.4326770364471548
