fixture_id,season_id,competition_id,actual_result,actual_score,v4_p_h,v4_p_d,v4_p_a,e10_p_h,e10_p_d,e10_p_a,abs_elo_diff,lambda_home,lambda_away
9922008,2745,477,A,1-6,0.2978,0.2384,0.4637,0.2882,0.2582,0.4536,123.5,1.309,1.688
9922032,2747,423,A,0-2,0.3363,0.2618,0.4019,0.3126,0.3119,0.3755,0.9,1.241,1.382
9922033,2748,200,H,2-1,0.5545,0.2255,0.2201,0.546,0.2424,0.2116,217.5,1.867,1.093
9971689,2747,423,D,2-2,0.1742,0.2242,0.6017,0.1656,0.2412,0.5931,301.6,0.874,1.84
9971877,2745,477,H,3-1,0.5638,0.2168,0.2194,0.5559,0.2328,0.2114,291.5,1.977,1.158
9971878,2745,477,H,3-1,0.4849,0.225,0.2901,0.4762,0.2422,0.2817,134.5,1.869,1.405
9971879,2745,477,D,2-2,0.4992,0.2309,0.27,0.4907,0.2479,0.2615,207.2,1.802,1.269
9971880,2745,477,A,1-2,0.381,0.2459,0.373,0.3672,0.2736,0.3593,80.4,1.478,1.46
9971881,2745,477,A,0-4,0.3248,0.2429,0.4323,0.3043,0.2878,0.4079,7.2,1.358,1.602
9972251,2748,200,A,1-2,0.3463,0.2551,0.3987,0.3231,0.3034,0.3735,0.4,1.317,1.431
9972432,2747,423,A,0-1,0.2335,0.2351,0.5314,0.2233,0.2572,0.5195,106.9,1.084,1.758
9972438,2745,477,H,1-0,0.4232,0.2379,0.339,0.413,0.2579,0.3291,116.9,1.641,1.447
9972548,2748,200,A,0-5,0.1982,0.214,0.5878,0.1902,0.23,0.5798,216.4,1.069,1.992
9974057,2747,423,H,2-0,0.4261,0.2527,0.3212,0.414,0.2763,0.3097,106.6,1.498,1.267
9974058,2747,423,H,2-1,0.4397,0.2549,0.3054,0.4254,0.2821,0.2925,89.4,1.497,1.205
9974059,2747,423,H,2-0,0.4091,0.2592,0.3317,0.3977,0.2818,0.3205,118.8,1.415,1.248
9974060,2747,423,H,4-1,0.6501,0.1999,0.15,0.6425,0.2151,0.1424,332.1,2.084,0.887
10138577,2748,200,D,1-1,0.3645,0.2571,0.3784,0.3437,0.2992,0.3572,39.8,1.344,1.374
10138725,2747,423,D,2-2,0.4197,0.255,0.3253,0.41,0.2743,0.3157,146.6,1.468,1.262
10138726,2747,423,A,1-2,0.4015,0.2519,0.3467,0.392,0.2708,0.3372,147.3,1.465,1.344
10138727,2748,200,H,4-1,0.4558,0.2539,0.2903,0.4461,0.2732,0.2807,182.6,1.525,1.164
10138728,2748,200,D,0-0,0.3756,0.2559,0.3685,0.3513,0.3041,0.3445,6.8,1.378,1.363
10138729,2748,200,H,3-2,0.3703,0.2563,0.3735,0.3547,0.2874,0.3579,74.1,1.364,1.371
10138730,2748,200,H,3-2,0.57,0.224,0.206,0.5616,0.2409,0.1975,233.9,1.875,1.035
10138848,2745,477,D,1-1,0.3454,0.2509,0.4037,0.3324,0.2776,0.39,88.0,1.348,1.477
10138967,2748,200,A,0-1,0.5843,0.2209,0.1948,0.5759,0.2377,0.1864,319.6,1.901,1.0
10138975,2747,423,A,0-2,0.1613,0.1949,0.6438,0.154,0.2093,0.6366,143.3,0.998,2.185
10138976,2745,477,H,3-1,0.6104,0.2089,0.1807,0.6026,0.2246,0.1728,306.4,2.034,1.01
10139097,2748,200,H,4-1,0.5654,0.2302,0.2044,0.5567,0.2477,0.1956,237.2,1.802,0.986
10378209,2745,477,A,1-3,0.4199,0.2401,0.34,0.3965,0.2841,0.3194,2.4,1.611,1.428
10378240,2748,200,D,1-1,0.3699,0.2571,0.373,0.348,0.301,0.351,33.4,1.356,1.363
10378242,2858,419,H,2-1,0.3432,0.2695,0.3872,0.3289,0.2987,0.3723,88.0,1.205,1.297
10439662,2747,423,H,2-1,0.4955,0.2474,0.2572,0.4861,0.2662,0.2478,153.6,1.619,1.094
10439949,2745,477,A,1-2,0.6204,0.2105,0.1691,0.6125,0.2264,0.1611,311.0,1.992,0.932
10439950,2745,477,D,2-2,0.5196,0.2311,0.2493,0.511,0.2483,0.2407,203.1,1.805,1.182
10439951,2745,477,H,3-2,0.3982,0.2454,0.3564,0.3857,0.2701,0.3442,93.5,1.519,1.424
10439952,2745,477,D,1-1,0.362,0.2562,0.3819,0.3385,0.3039,0.3576,13.3,1.346,1.389
10439953,2745,477,D,2-2,0.3597,0.2516,0.3887,0.3433,0.2851,0.3717,63.3,1.379,1.443
10440255,2747,423,H,4-2,0.5138,0.2363,0.2499,0.5049,0.2541,0.241,189.8,1.743,1.144
10440259,2747,423,D,0-0,0.4583,0.256,0.2857,0.4446,0.2819,0.2736,96.9,1.509,1.136
10440260,2747,423,H,4-0,0.7002,0.1766,0.1232,0.6936,0.1898,0.1166,384.9,2.319,0.862
10440263,2747,423,D,2-2,0.3701,0.2519,0.378,0.351,0.2903,0.3587,47.8,1.4,1.417
10440264,2747,423,D,0-0,0.418,0.2616,0.3204,0.408,0.2815,0.3105,164.8,1.41,1.201
10440616,2858,419,D,2-2,0.5084,0.2506,0.241,0.4989,0.2697,0.2315,149.3,1.593,1.013
10440620,2748,200,D,1-1,0.4762,0.2406,0.2832,0.4672,0.2586,0.2741,172.4,1.676,1.239
10440768,2747,423,H,4-0,0.4737,0.2445,0.2818,0.4521,0.2826,0.2653,47.2,1.633,1.204
10440771,2745,477,D,2-2,0.2016,0.2095,0.5889,0.1932,0.2279,0.5789,113.9,1.125,2.059
10440772,2894,499,H,4-2,0.5879,0.2174,0.1948,0.5797,0.2337,0.1866,326.4,1.945,1.025
10440773,2894,499,A,0-2,0.2452,0.2218,0.533,0.2312,0.257,0.5118,42.7,1.242,1.923
10440800,2858,419,A,0-3,0.3197,0.2532,0.4271,0.3082,0.2768,0.415,106.4,1.259,1.495
10440868,2894,499,A,1-2,0.219,0.2185,0.5625,0.2109,0.2347,0.5544,149.7,1.142,1.954
