league,competition_id,season,matches_available,matches_vendor_xg,matches_calibrated_xg,vendor_coverage_pct,effective_xg_coverage_pct
Ligue 1,200,2020/2021,380,0,380,0.0,100.0
La Liga,419,2020/2021,380,0,380,0.0,100.0
Premier League,423,2020/2021,380,0,380,0.0,100.0
Bundesliga,477,2020/2021,306,0,306,0.0,100.0
Serie A,499,2020/2021,380,0,380,0.0,100.0
Ligue 1,200,2021/2022,380,0,380,0.0,100.0
La Liga,419,2021/2022,380,0,380,0.0,100.0
Premier League,423,2021/2022,380,0,380,0.0,100.0
Bundesliga,477,2021/2022,306,0,306,0.0,100.0
Serie A,499,2021/2022,380,0,380,0.0,100.0
Ligue 1,200,2022/2023,380,0,380,0.0,100.0
La Liga,419,2022/2023,380,0,380,0.0,100.0
Premier League,423,2022/2023,380,0,380,0.0,100.0
Bundesliga,477,2022/2023,306,0,306,0.0,100.0
Serie A,499,2022/2023,381,0,381,0.0,100.0
Ligue 1,200,2023/2024,306,49,257,16.01,100.0
La Liga,419,2023/2024,380,51,329,13.42,100.0
Premier League,423,2023/2024,380,62,318,16.32,100.0
Bundesliga,477,2023/2024,306,52,254,16.99,100.0
Serie A,499,2023/2024,380,59,321,15.53,100.0
Ligue 1,200,2024/2025,306,303,3,99.02,100.0
La Liga,419,2024/2025,380,379,1,99.74,100.0
Premier League,423,2024/2025,380,380,0,100.0,100.0
Bundesliga,477,2024/2025,306,305,1,99.67,100.0
Serie A,499,2024/2025,380,375,5,98.68,100.0
Ligue 1,200,2025/2026,306,302,4,98.69,100.0
La Liga,419,2025/2026,380,377,3,99.21,100.0
Premier League,423,2025/2026,380,379,1,99.74,100.0
Bundesliga,477,2025/2026,306,302,4,98.69,100.0
Serie A,499,2025/2026,380,377,3,99.21,100.0
