arm,accuracy_pct,correct,total,log_loss,brier_score,rps,macro_f1,draw_precision_pct,draw_recall_pct,draw_f1,draw_ece,ece_by_class,metrics_by_class,mean_probabilities
ARM_A_Pure_E10_Champion,53.12,3762,7082,0.98336,0.585881,0.199489,0.3973,0.0,0.0,0.0,0.0069,"{'H': np.float64(0.02), 'D': np.float64(0.0069), 'A': np.float64(0.021)}","{'H': {'predicted_count': 4465, 'actual_count': 3097, 'precision_pct': 55.03, 'recall_pct': 79.33, 'f1': 0.6498}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2617, 'actual_count': 2197, 'precision_pct': 49.87, 'recall_pct': 59.4, 'f1': 0.5422}}","{'H': 0.4271, 'D': 0.2492, 'A': 0.3237}"
ARM_B_E10_xG_Residual,52.95,3750,7082,0.984488,0.586754,0.199849,0.3963,0.0,0.0,0.0,0.0061,"{'H': np.float64(0.0161), 'D': np.float64(0.0061), 'A': np.float64(0.0182)}","{'H': {'predicted_count': 4428, 'actual_count': 3097, 'precision_pct': 55.06, 'recall_pct': 78.72, 'f1': 0.648}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2654, 'actual_count': 2197, 'precision_pct': 49.43, 'recall_pct': 59.72, 'f1': 0.5409}}","{'H': 0.4281, 'D': 0.2484, 'A': 0.3235}"
ARM_C_E10_xG_Trend,53.04,3756,7082,0.983653,0.586018,0.199539,0.3969,0.0,0.0,0.0,0.0081,"{'H': np.float64(0.0178), 'D': np.float64(0.0081), 'A': np.float64(0.0234)}","{'H': {'predicted_count': 4446, 'actual_count': 3097, 'precision_pct': 55.02, 'recall_pct': 78.98, 'f1': 0.6485}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2636, 'actual_count': 2197, 'precision_pct': 49.7, 'recall_pct': 59.63, 'f1': 0.5421}}","{'H': 0.4268, 'D': 0.249, 'A': 0.3242}"
ARM_D_E10_Venue_Specialization,52.87,3744,7082,0.982788,0.585583,0.199288,0.3958,0.0,0.0,0.0,0.0104,"{'H': np.float64(0.0086), 'D': np.float64(0.0104), 'A': np.float64(0.0175)}","{'H': {'predicted_count': 4405, 'actual_count': 3097, 'precision_pct': 55.12, 'recall_pct': 78.4, 'f1': 0.6473}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2677, 'actual_count': 2197, 'precision_pct': 49.16, 'recall_pct': 59.9, 'f1': 0.54}}","{'H': 0.4323, 'D': 0.243, 'A': 0.3248}"
ARM_E_E10_xG_Matchup,52.82,3741,7082,0.982996,0.585651,0.199344,0.3966,0.0,0.0,0.0,0.011,"{'H': np.float64(0.0121), 'D': np.float64(0.011), 'A': np.float64(0.0185)}","{'H': {'predicted_count': 4275, 'actual_count': 3097, 'precision_pct': 55.65, 'recall_pct': 76.82, 'f1': 0.6454}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2807, 'actual_count': 2197, 'precision_pct': 48.52, 'recall_pct': 61.99, 'f1': 0.5444}}","{'H': 0.4283, 'D': 0.243, 'A': 0.3287}"
ARM_F_E10_Fatigue_Interactions,53.09,3760,7082,0.983721,0.586124,0.199591,0.3971,0.0,0.0,0.0,0.007,"{'H': np.float64(0.0162), 'D': np.float64(0.007), 'A': np.float64(0.0194)}","{'H': {'predicted_count': 4471, 'actual_count': 3097, 'precision_pct': 54.95, 'recall_pct': 79.33, 'f1': 0.6493}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2611, 'actual_count': 2197, 'precision_pct': 49.9, 'recall_pct': 59.31, 'f1': 0.542}}","{'H': 0.4288, 'D': 0.2477, 'A': 0.3235}"
ARM_G_E10_Elo_xG_Orthogonal,52.85,3743,7082,0.983053,0.585713,0.199381,0.3967,0.0,0.0,0.0,0.0095,"{'H': np.float64(0.0133), 'D': np.float64(0.0095), 'A': np.float64(0.0174)}","{'H': {'predicted_count': 4283, 'actual_count': 3097, 'precision_pct': 55.66, 'recall_pct': 76.98, 'f1': 0.6461}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2799, 'actual_count': 2197, 'precision_pct': 48.55, 'recall_pct': 61.86, 'f1': 0.544}}","{'H': 0.4293, 'D': 0.243, 'A': 0.3277}"
ARM_H_E10_Best_Orthogonal_Combo,52.99,3753,7082,0.982804,0.585612,0.199312,0.3973,0.0,0.0,0.0,0.0108,"{'H': np.float64(0.0139), 'D': np.float64(0.0108), 'A': np.float64(0.0161)}","{'H': {'predicted_count': 4343, 'actual_count': 3097, 'precision_pct': 55.49, 'recall_pct': 77.82, 'f1': 0.6478}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2739, 'actual_count': 2197, 'precision_pct': 49.03, 'recall_pct': 61.13, 'f1': 0.5442}}","{'H': 0.4304, 'D': 0.2433, 'A': 0.3263}"
ARM_I_E10_Bounded_Adjustment_Tight_B02,52.84,3742,7082,0.982837,0.585578,0.199328,0.3955,0.0,0.0,0.0,0.0068,"{'H': np.float64(0.0137), 'D': np.float64(0.0068), 'A': np.float64(0.0173)}","{'H': {'predicted_count': 4408, 'actual_count': 3097, 'precision_pct': 55.1, 'recall_pct': 78.43, 'f1': 0.6473}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2674, 'actual_count': 2197, 'precision_pct': 49.1, 'recall_pct': 59.76, 'f1': 0.5391}}","{'H': 0.4285, 'D': 0.2468, 'A': 0.3247}"
ARM_J_E10_Best_Signal_Bounded_B05,52.99,3753,7082,0.982804,0.585612,0.199312,0.3973,0.0,0.0,0.0,0.0108,"{'H': np.float64(0.0139), 'D': np.float64(0.0108), 'A': np.float64(0.0161)}","{'H': {'predicted_count': 4343, 'actual_count': 3097, 'precision_pct': 55.49, 'recall_pct': 77.82, 'f1': 0.6478}, 'D': {'predicted_count': 0, 'actual_count': 1788, 'precision_pct': 0.0, 'recall_pct': 0.0, 'f1': 0.0}, 'A': {'predicted_count': 2739, 'actual_count': 2197, 'precision_pct': 49.03, 'recall_pct': 61.13, 'f1': 0.5442}}","{'H': 0.4304, 'D': 0.2433, 'A': 0.3263}"
