fold,test_season,arm,rps,log_loss,accuracy_pct,draw_ece
1,2022/2023,ARM_A_Pure_E10_Champion,0.203677,0.989604,52.93,0.0086
1,2022/2023,ARM_B_E10_xG_Residual,0.203872,0.990373,52.98,0.0063
1,2022/2023,ARM_C_E10_xG_Trend,0.203635,0.989648,52.87,0.0087
1,2022/2023,ARM_D_E10_Venue_Specialization,0.203745,0.989707,52.87,0.0028
1,2022/2023,ARM_E_E10_xG_Matchup,0.204098,0.990979,52.55,0.0052
1,2022/2023,ARM_F_E10_Fatigue_Interactions,0.203811,0.990159,52.6,0.0061
1,2022/2023,ARM_G_E10_Elo_xG_Orthogonal,0.2041,0.990874,52.55,0.0033
1,2022/2023,ARM_H_E10_Best_Orthogonal_Combo,0.203979,0.990552,52.76,0.0056
1,2022/2023,ARM_I_E10_Bounded_Adjustment_Tight_B02,0.203711,0.989707,52.38,0.006
1,2022/2023,ARM_J_E10_Best_Signal_Bounded_B05,0.203979,0.990552,52.76,0.0056
2,2023/2024,ARM_A_Pure_E10_Champion,0.193893,0.974907,54.05,0.0212
2,2023/2024,ARM_B_E10_xG_Residual,0.19377,0.97433,53.77,0.0213
2,2023/2024,ARM_C_E10_xG_Trend,0.193727,0.974569,54.11,0.0212
2,2023/2024,ARM_D_E10_Venue_Specialization,0.193484,0.973728,53.82,0.026
2,2023/2024,ARM_E_E10_xG_Matchup,0.193265,0.972978,54.11,0.0258
2,2023/2024,ARM_F_E10_Fatigue_Interactions,0.194097,0.975454,53.88,0.0209
2,2023/2024,ARM_G_E10_Elo_xG_Orthogonal,0.193249,0.9729,54.11,0.0259
2,2023/2024,ARM_H_E10_Best_Orthogonal_Combo,0.1933,0.972914,54.11,0.0255
2,2023/2024,ARM_I_E10_Bounded_Adjustment_Tight_B02,0.193551,0.973733,54.05,0.0216
2,2023/2024,ARM_J_E10_Best_Signal_Bounded_B05,0.1933,0.972914,54.11,0.0255
3,2024/2025,ARM_A_Pure_E10_Champion,0.198805,0.978451,53.54,0.007
3,2024/2025,ARM_B_E10_xG_Residual,0.199471,0.980578,53.2,0.0018
3,2024/2025,ARM_C_E10_xG_Trend,0.199036,0.979373,53.71,0.004
3,2024/2025,ARM_D_E10_Venue_Specialization,0.198322,0.977015,52.85,0.0099
3,2024/2025,ARM_E_E10_xG_Matchup,0.19827,0.976898,52.85,0.0092
3,2024/2025,ARM_F_E10_Fatigue_Interactions,0.198829,0.978455,53.77,0.0076
3,2024/2025,ARM_G_E10_Elo_xG_Orthogonal,0.198307,0.977075,52.85,0.0086
3,2024/2025,ARM_H_E10_Best_Orthogonal_Combo,0.1983,0.976978,53.71,0.0096
3,2024/2025,ARM_I_E10_Bounded_Adjustment_Tight_B02,0.198486,0.977477,53.25,0.0067
3,2024/2025,ARM_J_E10_Best_Signal_Bounded_B05,0.1983,0.976978,53.71,0.0096
4,2025/2026,ARM_A_Pure_E10_Champion,0.201402,0.990214,51.97,0.0061
4,2025/2026,ARM_B_E10_xG_Residual,0.202114,0.992422,51.86,0.0085
4,2025/2026,ARM_C_E10_xG_Trend,0.201582,0.990768,51.46,0.0094
4,2025/2026,ARM_D_E10_Venue_Specialization,0.201412,0.990409,51.91,0.0114
4,2025/2026,ARM_E_E10_xG_Matchup,0.201541,0.990791,51.8,0.013
4,2025/2026,ARM_F_E10_Fatigue_Interactions,0.201447,0.990544,52.14,0.0094
4,2025/2026,ARM_G_E10_Elo_xG_Orthogonal,0.201666,0.991032,51.91,0.0107
4,2025/2026,ARM_H_E10_Best_Orthogonal_Combo,0.201471,0.990442,51.4,0.0098
4,2025/2026,ARM_I_E10_Bounded_Adjustment_Tight_B02,0.20138,0.990142,51.68,0.006
4,2025/2026,ARM_J_E10_Best_Signal_Bounded_B05,0.201471,0.990442,51.4,0.0098
