fold,test_season,arm,rps,log_loss,accuracy_pct,draw_ece
1,2022/2023,ARM_A_Pure_E10_Champion,0.203677,0.989604,52.93,0.0086
1,2022/2023,ARM_G_E10_Uncertainty_Propagation,0.204073,0.99095,52.93,0.0052
1,2022/2023,ARM_B_E10_Dynamic_Elo,0.204855,0.993672,52.76,0.0035
1,2022/2023,ARM_C_E10_Dynamic_State_Space_AD,0.204911,0.99373,52.65,0.0044
1,2022/2023,ARM_D_E10_Hierarchical_Shrinkage,0.20504,0.994187,52.6,0.0044
1,2022/2023,ARM_E_E10_Season_Transition_Shrinkage,0.205118,0.994305,52.76,0.0049
1,2022/2023,ARM_F_E10_Venue_Specific_Latent,0.204964,0.99428,52.82,0.0064
1,2022/2023,ARM_H_E10_Best_Dynamic_Architecture,0.20494,0.993655,52.65,0.0051
1,2022/2023,ARM_I_E10_Best_Dynamic_Plus_Uncertainty,0.205029,0.993872,52.65,0.0037
2,2023/2024,ARM_A_Pure_E10_Champion,0.193893,0.974907,54.05,0.0212
2,2023/2024,ARM_G_E10_Uncertainty_Propagation,0.194826,0.978781,54.05,0.0275
2,2023/2024,ARM_B_E10_Dynamic_Elo,0.194295,0.976258,53.77,0.0203
2,2023/2024,ARM_C_E10_Dynamic_State_Space_AD,0.194613,0.977374,53.88,0.0234
2,2023/2024,ARM_D_E10_Hierarchical_Shrinkage,0.194691,0.977614,53.77,0.0229
2,2023/2024,ARM_E_E10_Season_Transition_Shrinkage,0.194984,0.978511,53.77,0.0212
2,2023/2024,ARM_F_E10_Venue_Specific_Latent,0.194548,0.9772,53.65,0.0234
2,2023/2024,ARM_H_E10_Best_Dynamic_Architecture,0.194606,0.977233,54.0,0.0199
2,2023/2024,ARM_I_E10_Best_Dynamic_Plus_Uncertainty,0.195414,0.980647,54.0,0.024
3,2024/2025,ARM_A_Pure_E10_Champion,0.198805,0.978451,53.54,0.007
3,2024/2025,ARM_G_E10_Uncertainty_Propagation,0.19932,0.980408,53.54,0.0127
3,2024/2025,ARM_B_E10_Dynamic_Elo,0.199375,0.980097,53.08,0.0057
3,2024/2025,ARM_C_E10_Dynamic_State_Space_AD,0.199588,0.980958,53.2,0.0071
3,2024/2025,ARM_D_E10_Hierarchical_Shrinkage,0.199732,0.981408,53.14,0.0048
3,2024/2025,ARM_E_E10_Season_Transition_Shrinkage,0.199949,0.982138,53.31,0.0065
3,2024/2025,ARM_F_E10_Venue_Specific_Latent,0.199786,0.98168,52.97,0.0055
3,2024/2025,ARM_H_E10_Best_Dynamic_Architecture,0.199394,0.980226,53.08,0.0059
3,2024/2025,ARM_I_E10_Best_Dynamic_Plus_Uncertainty,0.199796,0.981781,53.08,0.0141
4,2025/2026,ARM_A_Pure_E10_Champion,0.201402,0.990214,51.97,0.0061
4,2025/2026,ARM_G_E10_Uncertainty_Propagation,0.201911,0.992016,51.97,0.0075
4,2025/2026,ARM_B_E10_Dynamic_Elo,0.201496,0.990565,51.74,0.0099
4,2025/2026,ARM_C_E10_Dynamic_State_Space_AD,0.201751,0.991525,52.08,0.0033
4,2025/2026,ARM_D_E10_Hierarchical_Shrinkage,0.201849,0.991679,51.97,0.0042
4,2025/2026,ARM_E_E10_Season_Transition_Shrinkage,0.202109,0.992514,51.97,0.0023
4,2025/2026,ARM_F_E10_Venue_Specific_Latent,0.201353,0.989938,51.68,0.0063
4,2025/2026,ARM_H_E10_Best_Dynamic_Architecture,0.201221,0.989789,52.08,0.0082
4,2025/2026,ARM_I_E10_Best_Dynamic_Plus_Uncertainty,0.20175,0.991573,52.08,0.0108
