fold,test_season,arm,rps,log_loss,accuracy_pct,draw_ece
1,2022/2023,ARM_A_Pure_E10_Champion,0.203677,0.989604,52.93,0.0086
1,2022/2023,ARM_B_Hard_Early_Season_Switch,0.203713,0.989709,52.98,0.0086
1,2022/2023,ARM_C_Regime_Fixed_Weights,0.204904,0.993547,52.6,0.0051
1,2022/2023,ARM_D_Continuous_Softmax_Gating,0.204038,0.990813,52.87,0.0068
1,2022/2023,ARM_E_Calibration_Aware_Gating,0.20494,0.993655,52.65,0.0051
1,2022/2023,ARM_F_Model_Disagreement_Gating,0.203677,0.989604,52.93,0.0086
1,2022/2023,ARM_G_Data_Driven_Regime_Discovery,0.204828,0.993209,52.6,0.0056
1,2022/2023,ARM_H_Best_Causal_Mixture_Of_Experts,0.203701,0.989675,52.98,0.0086
2,2023/2024,ARM_A_Pure_E10_Champion,0.193893,0.974907,54.05,0.0212
2,2023/2024,ARM_B_Hard_Early_Season_Switch,0.193898,0.974895,54.05,0.0212
2,2023/2024,ARM_C_Regime_Fixed_Weights,0.193898,0.974895,54.05,0.0212
2,2023/2024,ARM_D_Continuous_Softmax_Gating,0.194034,0.97536,54.22,0.02
2,2023/2024,ARM_E_Calibration_Aware_Gating,0.193893,0.974907,54.05,0.0212
2,2023/2024,ARM_F_Model_Disagreement_Gating,0.193893,0.974907,54.05,0.0212
2,2023/2024,ARM_G_Data_Driven_Regime_Discovery,0.19389,0.974869,54.11,0.0212
2,2023/2024,ARM_H_Best_Causal_Mixture_Of_Experts,0.193896,0.974898,54.05,0.0212
3,2024/2025,ARM_A_Pure_E10_Champion,0.198805,0.978451,53.54,0.007
3,2024/2025,ARM_B_Hard_Early_Season_Switch,0.198793,0.978416,53.54,0.007
3,2024/2025,ARM_C_Regime_Fixed_Weights,0.198799,0.978435,53.54,0.007
3,2024/2025,ARM_D_Continuous_Softmax_Gating,0.198904,0.97875,53.31,0.006
3,2024/2025,ARM_E_Calibration_Aware_Gating,0.198805,0.978451,53.54,0.007
3,2024/2025,ARM_F_Model_Disagreement_Gating,0.198805,0.978451,53.54,0.007
3,2024/2025,ARM_G_Data_Driven_Regime_Discovery,0.198809,0.978467,53.54,0.007
3,2024/2025,ARM_H_Best_Causal_Mixture_Of_Experts,0.198796,0.978426,53.54,0.007
4,2025/2026,ARM_A_Pure_E10_Champion,0.201402,0.990214,51.97,0.0061
4,2025/2026,ARM_B_Hard_Early_Season_Switch,0.201317,0.989955,52.03,0.0063
4,2025/2026,ARM_C_Regime_Fixed_Weights,0.201324,0.989977,52.03,0.0063
4,2025/2026,ARM_D_Continuous_Softmax_Gating,0.201338,0.990031,51.97,0.0081
4,2025/2026,ARM_E_Calibration_Aware_Gating,0.201402,0.990214,51.97,0.0061
4,2025/2026,ARM_F_Model_Disagreement_Gating,0.201402,0.990214,51.97,0.0061
4,2025/2026,ARM_G_Data_Driven_Regime_Discovery,0.201402,0.990214,51.97,0.0061
4,2025/2026,ARM_H_Best_Causal_Mixture_Of_Experts,0.201341,0.990031,52.03,0.0063
