decile,n_matches,mean_predicted_risk,actual_mean_rps,actual_mean_log_loss,mean_entropy,mean_max_prob,draw_rate_pct
1,840,0.0018,0.226246,1.083677,1.0848,0.4026,28.57
2,1152,0.0018,0.225564,1.082506,1.0864,0.3973,28.73
3,288,0.0021,0.229231,1.084107,1.0864,0.3969,27.08
4,553,0.0199,0.215498,1.018889,1.0139,0.487,23.33
5,708,0.0942,0.133303,0.70742,0.7776,0.7068,14.41
6,708,0.1243,0.163454,0.853242,0.8656,0.6517,21.61
7,708,0.1554,0.19681,0.982442,0.9704,0.5685,26.13
8,708,0.1797,0.195814,0.975956,0.9989,0.5435,25.28
9,708,0.1986,0.199068,1.001207,1.0255,0.5132,27.82
10,709,0.243,0.209695,1.030749,1.0446,0.4882,27.36
