decile,n_matches,mean_reliability_score,mean_predicted_rps,actual_mean_rps,actual_mean_log_loss,top1_accuracy_pct,mean_entropy,mean_max_prob
1,730,0.4829,0.258679,0.222416,1.065972,44.25,1.0775,0.4159
2,818,0.5344,0.232784,0.226975,1.068687,44.87,1.0793,0.4141
3,595,0.5474,0.226279,0.225269,1.065975,45.88,1.0798,0.4129
4,720,0.5602,0.219901,0.219404,1.070153,42.5,1.0642,0.4458
5,678,0.563,0.218503,0.218619,1.070262,43.51,1.0613,0.4534
6,862,0.581,0.209523,0.203627,1.008857,52.67,1.033,0.4983
7,705,0.6082,0.195919,0.200244,0.988984,56.88,0.9975,0.5454
8,620,0.6439,0.178027,0.188918,0.956425,57.58,0.9549,0.5852
9,645,0.6983,0.150852,0.160794,0.840134,67.6,0.8694,0.6534
10,709,0.8422,0.078879,0.122682,0.67654,77.57,0.7287,0.7384
