ablation_arm,description,spearman_corr,pearson_corr,mae_expected_rps,top1_roc_auc,brier_score,status_separation_rps,complexity
ARM_Benchmark_Pure_E10,Pure E10 Champion Forecasts (Unmodified Baseline),0.0,0.0,0.093021,0.5,0.585881,0.0,Baseline
ARM_A_E10_Probability_Geometry,ARM A E10 Probability Geometry,0.4254,0.2497,0.08677,0.622,0.2437,0.0664,Low/Medium
ARM_B_E16_Reliability_Only,ARM B E16 Reliability Only,0.4299,0.2621,0.086551,0.6245,0.2437,0.0664,Low/Medium
ARM_C_Entropy_Margin,ARM C Entropy Margin,0.4295,0.264,0.086505,0.6234,0.2437,0.0664,Low/Medium
ARM_D_E16_Plus_Geometry,ARM D E16 Plus Geometry,0.4151,0.2448,0.087004,0.6185,0.2437,0.0664,Low/Medium
ARM_E_E16_Plus_E15_Risk,ARM E E16 Plus E15 Risk,0.4161,0.2467,0.086559,0.6197,0.2437,0.0664,Low/Medium
ARM_F_E16_E15_Elo_Maturity,ARM F E16 E15 Elo Maturity,0.4074,0.2594,0.08717,0.6173,0.2437,0.0664,Low/Medium
ARM_G_Full_Causal_Registry,ARM G Full Causal Registry,0.4109,0.2558,0.086771,0.6158,0.2437,0.0664,Low/Medium
ARM_H_Analytical_Status,ARM H Analytical Status,0.4428,0.2707,0.091494,0.6314,0.2437,0.0664,Low/Medium
ARM_I_Best_Learned_Status,ARM I Best Learned Status,0.4078,0.2443,0.085066,0.6129,0.2437,0.0664,Low/Medium
