fixture_id,home_team,away_team,league,scheduled_kickoff,v4_decision,v4_p_H,v4_p_D,v4_p_A,draw_risk_tier,post_match_data_consumed,causality_status
374120185,Torino,Juventus,Serie A,2026-05-24T19:45:00.000000Z,A,0.272,0.254,0.474,LOW,False,PRE_KICKOFF_CAUSAL_PASS
368375069,Villarreal,Atlético de Madrid,La Liga,2026-05-24T19:00:00.000000Z,H,0.458,0.25,0.292,LOW,False,PRE_KICKOFF_CAUSAL_PASS
374120090,Cremonese,Como,Serie A,2026-05-24T18:45:00.000000Z,A,0.237,0.242,0.521,LOW,False,PRE_KICKOFF_CAUSAL_PASS
374120160,Lecce,Genoa,Serie A,2026-05-24T18:45:00.000000Z,A,0.345,0.305,0.351,CRITICAL,False,PRE_KICKOFF_CAUSAL_PASS
374120161,AC Milan,Cagliari,Serie A,2026-05-24T18:45:00.000000Z,H,0.499,0.22,0.28,LOW,False,PRE_KICKOFF_CAUSAL_PASS
374120180,Hellas Verona,Roma,Serie A,2026-05-24T18:45:00.000000Z,A,0.215,0.215,0.57,LOW,False,PRE_KICKOFF_CAUSAL_PASS
374120184,Napoli,Udinese,Serie A,2026-05-24T16:00:00.000000Z,H,0.549,0.217,0.234,LOW,False,PRE_KICKOFF_CAUSAL_PASS
365992521,Manchester City,Aston Villa,Premier League,2026-05-24T15:00:00.000000Z,H,0.649,0.175,0.176,LOW,False,PRE_KICKOFF_CAUSAL_PASS
365992564,Brighton & Hove Albion,Manchester United,Premier League,2026-05-24T15:00:00.000000Z,H,0.434,0.253,0.313,MEDIUM,False,PRE_KICKOFF_CAUSAL_PASS
365992567,Sunderland,Chelsea,Premier League,2026-05-24T15:00:00.000000Z,H,0.4,0.278,0.322,HIGH,False,PRE_KICKOFF_CAUSAL_PASS
365992608,Liverpool,Brentford,Premier League,2026-05-24T15:00:00.000000Z,H,0.556,0.21,0.234,LOW,False,PRE_KICKOFF_CAUSAL_PASS
365992641,Burnley,Wolverhampton Wanderers,Premier League,2026-05-24T15:00:00.000000Z,A,0.354,0.27,0.375,HIGH,False,PRE_KICKOFF_CAUSAL_PASS
365992642,Crystal Palace,Arsenal,Premier League,2026-05-24T15:00:00.000000Z,A,0.273,0.245,0.482,LOW,False,PRE_KICKOFF_CAUSAL_PASS
365992643,Fulham,Newcastle United,Premier League,2026-05-24T15:00:00.000000Z,H,0.424,0.261,0.315,MEDIUM,False,PRE_KICKOFF_CAUSAL_PASS
365992644,Nottingham Forest,AFC Bournemouth,Premier League,2026-05-24T15:00:00.000000Z,H,0.377,0.266,0.357,HIGH,False,PRE_KICKOFF_CAUSAL_PASS
365992645,Tottenham Hotspur,Everton,Premier League,2026-05-24T15:00:00.000000Z,H,0.431,0.268,0.301,MEDIUM,False,PRE_KICKOFF_CAUSAL_PASS
365992646,West Ham United,Leeds United,Premier League,2026-05-24T15:00:00.000000Z,H,0.396,0.266,0.338,HIGH,False,PRE_KICKOFF_CAUSAL_PASS
374120183,Parma,Sassuolo,Serie A,2026-05-24T13:00:00.000000Z,H,0.362,0.278,0.36,CRITICAL,False,PRE_KICKOFF_CAUSAL_PASS
368374822,Espanyol,Real Sociedad,La Liga,2026-05-23T19:00:00.000000Z,H,0.401,0.269,0.33,HIGH,False,PRE_KICKOFF_CAUSAL_PASS
368375013,Celta de Vigo,Sevilla,La Liga,2026-05-23T19:00:00.000000Z,H,0.398,0.252,0.35,HIGH,False,PRE_KICKOFF_CAUSAL_PASS
