Strategy,Config Name,Parameters,Train Accuracy (%),Train Acc Delta (%),Train Draw Recall (%),Train Draw Precision (%),Train Draw F1,Train Rescued,Train Damaged,Test Accuracy (%),Test Acc Delta (%),Test Draw Recall (%),Test Draw Precision (%),Test Draw F1,Test Rescued,Test Damaged,Test Macro F1,Acceptance Status
Strategy 1: Simple Threshold,S1_tau_d_0.26,tau_D=0.26,48.09,-4.68,35.91,28.49,0.3177,819,1239,48.09,-3.88,38.65,29.66,0.3356,172,240,0.4558,REJECTED (Acc Degraded)
Strategy 1: Simple Threshold,S1_tau_d_0.27,tau_D=0.27,50.86,-1.9,23.85,31.01,0.2696,544,715,50.83,-1.14,24.04,31.56,0.273,107,127,0.4621,REJECTED (Acc Degraded)
Strategy 1: Simple Threshold,S1_tau_d_0.28,tau_D=0.28,52.15,-0.61,11.4,32.42,0.1687,260,315,51.46,-0.51,9.66,28.67,0.1445,43,52,0.4312,REJECTED (Acc Degraded)
Strategy 1: Simple Threshold,S1_tau_d_0.29,tau_D=0.29,52.32,-0.45,3.24,27.21,0.058,74,114,51.57,-0.4,2.25,20.41,0.0405,10,17,0.3992,REJECTED (Acc Degraded)
Strategy 1: Simple Threshold,S1_tau_d_0.30,tau_D=0.30,52.63,-0.13,0.61,25.45,0.012,14,26,51.91,-0.06,0.45,25.0,0.0088,2,3,0.3898,REJECTED (Acc Degraded)
Strategy 2: Physical Multi-Gate,S2_Physical_Optimal_v46,"p_D>=0.26, gap<=0.1, conf<=0.45, elo<=100.0, lam<=2.5",52.44,-0.32,5.44,31.47,0.0927,124,153,51.91,-0.06,4.04,26.09,0.07,18,19,0.4109,REJECTED
Strategy 2: Physical Multi-Gate,S2_Physical_Strict_Tighter,"p_D>=0.26, gap<=0.08, conf<=0.44, elo<=80.0, lam<=2.45",52.58,-0.19,2.06,27.65,0.0384,47,64,51.74,-0.23,1.8,21.05,0.0331,8,12,0.3976,REJECTED
Strategy 2: Physical Multi-Gate,S2_Physical_HighProbD,"p_D>=0.27, gap<=0.1, conf<=0.45, elo<=100.0, lam<=2.55",52.29,-0.48,7.45,31.6,0.1206,170,213,51.63,-0.34,5.84,25.24,0.0949,26,32,0.4175,REJECTED
Strategy 2: Physical Multi-Gate,S2_Physical_HighParity,"p_D>=0.25, gap<=0.06, conf<=0.42, elo<=60.0, lam<=2.4",52.71,-0.06,0.66,31.25,0.0129,15,20,51.86,-0.11,0.22,14.29,0.0044,1,3,0.388,REJECTED
Strategy 2: Physical Multi-Gate,S2_Physical_Relaxed,"p_D>=0.26, gap<=0.12, conf<=0.46, elo<=120.0, lam<=2.6",51.76,-1.0,12.19,30.75,0.1746,278,368,51.63,-0.34,11.46,29.31,0.1648,51,57,0.4387,REJECTED
Strategy 3: Composite Score Index,S3_Composite_theta_1.00,Composite Score >= 1.00,52.14,-0.62,12.98,32.89,0.1861,296,352,51.46,-0.51,11.24,28.57,0.1613,50,59,0.4371,REJECTED
Strategy 3: Composite Score Index,S3_Composite_theta_1.25,Composite Score >= 1.25,52.42,-0.35,2.76,27.39,0.0502,63,94,51.51,-0.46,1.8,18.18,0.0327,8,16,0.3964,REJECTED
Strategy 3: Composite Score Index,S3_Composite_theta_1.50,Composite Score >= 1.50,52.69,-0.08,0.04,5.88,0.0009,1,8,51.91,-0.06,0.0,0.0,0.0,0,1,0.3868,REJECTED
Strategy 3: Composite Score Index,S3_Composite_theta_1.75,Composite Score >= 1.75,52.77,0.0,0.0,0.0,0.0,0,0,51.97,0.0,0.0,0.0,0.0,0,0,0.3869,REJECTED
Strategy 3: Composite Score Index,S3_Composite_theta_2.00,Composite Score >= 2.00,52.77,0.0,0.0,0.0,0.0,0,0,51.97,0.0,0.0,0.0,0.0,0,0,0.3869,REJECTED
Strategy 4: Logistic Regression Gate,S4_LogReg_gamma_0.28,P(Override) >= 0.28,48.85,-3.92,37.35,29.61,0.3304,852,1204,48.26,-3.71,38.65,30.12,0.3386,172,237,0.4623,REJECTED
Strategy 4: Logistic Regression Gate,S4_LogReg_gamma_0.30,P(Override) >= 0.30,52.24,-0.52,8.94,32.23,0.14,204,251,51.17,-0.8,8.54,29.23,0.1322,38,52,0.4255,REJECTED
Strategy 4: Logistic Regression Gate,S4_LogReg_gamma_0.32,P(Override) >= 0.32,52.78,0.01,0.39,31.03,0.0078,9,8,52.03,0.06,0.45,40.0,0.0089,2,1,0.3899,REJECTED
Strategy 4: Logistic Regression Gate,S4_LogReg_gamma_0.34,P(Override) >= 0.34,52.77,0.0,0.0,0.0,0.0,0,0,51.97,0.0,0.0,0.0,0.0,0,0,0.3869,REJECTED
Strategy 4: Logistic Regression Gate,S4_LogReg_gamma_0.36,P(Override) >= 0.36,52.77,0.0,0.0,0.0,0.0,0,0,51.97,0.0,0.0,0.0,0.0,0,0,0.3869,REJECTED
Strategy 5: Decision Tree Gate,S5_DecTree_gamma_0.28,Tree P(Draw Node) >= 0.28,52.69,-0.08,12.1,37.3,0.1827,276,283,51.28,-0.69,9.44,29.37,0.1429,42,54,0.4281,REJECTED
Strategy 5: Decision Tree Gate,S5_DecTree_gamma_0.30,Tree P(Draw Node) >= 0.30,52.69,-0.08,12.1,37.3,0.1827,276,283,51.28,-0.69,9.44,29.37,0.1429,42,54,0.4281,REJECTED
Strategy 5: Decision Tree Gate,S5_DecTree_gamma_0.32,Tree P(Draw Node) >= 0.32,52.69,-0.08,12.1,37.3,0.1827,276,283,51.28,-0.69,9.44,29.37,0.1429,42,54,0.4281,REJECTED
Strategy 5: Decision Tree Gate,S5_DecTree_gamma_0.34,Tree P(Draw Node) >= 0.34,52.69,-0.08,12.1,37.3,0.1827,276,283,51.28,-0.69,9.44,29.37,0.1429,42,54,0.4281,REJECTED
