Decile,Matches,Actual Draws,Observed Draw Frequency (%),Mean Predicted P(D) (%),Observed 95% CI Lower (%),Observed 95% CI Upper (%),Calibration Delta (%)
D1 (1.6% - 15.8%),1074,160,14.9,11.87,12.89,17.15,3.03
D2 (15.8% - 19.5%),1073,242,22.55,17.84,20.15,25.15,4.71
D3 (19.5% - 21.8%),1073,246,22.93,20.71,20.51,25.54,2.21
D4 (21.8% - 23.3%),1074,276,25.7,22.6,23.17,28.4,3.1
D5 (23.3% - 24.5%),1073,285,26.56,23.93,24.01,29.28,2.63
D6 (24.5% - 25.4%),1073,273,25.44,24.93,22.93,28.13,0.51
D7 (25.4% - 26.2%),1074,309,28.77,25.77,26.14,31.55,3.0
D8 (26.2% - 27.0%),1073,268,24.98,26.55,22.48,27.65,-1.57
D9 (27.0% - 27.9%),1073,319,29.73,27.37,27.07,32.53,2.36
D10 (27.9% - 31.1%),1074,348,32.4,28.73,29.67,35.26,3.67
