fixture_id,date_ist,kickoff_ist,league,home_team,away_team,score,actual_outcome,v4_0_pred,v4_0_p_H,v4_0_p_D,v4_0_p_A,v4_0_p_D_rank,v4_0_prob_gap,v4_0_lambda_H,v4_0_lambda_A,v4_0_lambda_tot,v4_0_elo_diff,v4_0_correct,v4_1_pred,v4_1_p_H,v4_1_p_D,v4_1_p_A,v4_1_correct
420581351,2026-08-22,12:15 AM IST,Ligue 1,Olympique Marseille,Strasbourg,4-0,H,H,0.509,0.232,0.259,3,0.25,1.774,1.203,2.977,121.5,True,H,0.503,0.25,0.247,True
420581362,2026-08-22,12:30 AM IST,Premier League,Arsenal,Coventry City,3-0,H,H,0.62,0.184,0.196,3,0.424,1.83,0.921,2.751,397.0,True,H,0.585,0.242,0.173,True
420581363,2026-08-22,12:30 AM IST,La Liga,Real Betis,Real Sociedad,1-0,H,H,0.543,0.222,0.236,3,0.307,1.748,1.069,2.817,196.8,True,H,0.525,0.253,0.222,True
420581845,2026-08-22,05:00 PM IST,Premier League,Hull City,Manchester United,2-0,H,A,0.342,0.262,0.396,3,0.054,1.327,1.448,2.775,-40.8,False,A,0.342,0.273,0.385,False
420582048,2026-08-22,07:30 PM IST,Premier League,Nottingham Forest,Leeds United,0-1,A,H,0.454,0.245,0.301,3,0.153,1.512,1.185,2.697,157.8,False,H,0.442,0.272,0.286,False
420582049,2026-08-22,07:30 PM IST,Premier League,Ipswich Town,Sunderland,2-1,H,A,0.316,0.271,0.413,3,0.097,1.22,1.433,2.653,-20.0,False,A,0.309,0.279,0.412,False
420582050,2026-08-22,07:30 PM IST,Premier League,Everton,Crystal Palace,2-0,H,H,0.44,0.258,0.303,3,0.137,1.461,1.167,2.628,106.6,True,H,0.425,0.279,0.297,True
420582189,2026-08-22,08:30 PM IST,La Liga,Athletic Club,Sevilla,1-3,A,H,0.455,0.252,0.293,3,0.162,1.477,1.133,2.61,168.0,False,H,0.441,0.281,0.278,False
420582220,2026-08-22,08:45 PM IST,Ligue 1,Lens,Auxerre,5-2,H,H,0.61,0.195,0.195,2,0.415,1.926,0.99,2.916,273.4,True,H,0.588,0.233,0.179,True
420582254,2026-08-22,10:00 PM IST,Serie A,Udinese,Como,1-1,D,A,0.292,0.275,0.432,3,0.14,1.142,1.448,2.59,-36.8,False,A,0.294,0.281,0.425,False
420582256,2026-08-22,10:00 PM IST,Premier League,Brentford,Tottenham Hotspur,3-0,H,H,0.422,0.243,0.335,3,0.087,1.432,1.248,2.68,196.8,True,H,0.406,0.278,0.316,True
420582255,2026-08-22,10:00 PM IST,Serie A,Inter,Monza,4-1,H,H,0.789,0.108,0.103,2,0.686,2.399,0.744,3.143,604.1,True,H,0.733,0.177,0.09,True
420582269,2026-08-22,11:00 PM IST,La Liga,Valencia,Celta de Vigo,0-0,D,H,0.464,0.264,0.272,3,0.192,1.515,1.099,2.614,68.6,False,H,0.464,0.275,0.261,False
420582301,2026-08-23,12:15 AM IST,Serie A,Parma,Cagliari,0-1,A,A,0.353,0.274,0.373,3,0.02,1.232,1.275,2.507,112.4,True,A,0.346,0.292,0.363,True
420582302,2026-08-23,12:15 AM IST,Serie A,Genoa,Napoli,0-2,A,A,0.277,0.263,0.46,3,0.183,1.086,1.477,2.563,-107.1,True,A,0.27,0.28,0.45,True
420582303,2026-08-23,12:15 AM IST,Ligue 1,Troyes,Paris,0-0,D,A,0.226,0.233,0.541,2,0.315,1.089,1.814,2.903,-84.5,False,A,0.219,0.249,0.532,False
420582304,2026-08-23,12:15 AM IST,Ligue 1,Toulouse,Olympique Lyonnais,0-2,A,A,0.338,0.267,0.395,3,0.057,1.348,1.476,2.824,-24.3,True,A,0.337,0.272,0.391,True
420582305,2026-08-23,12:15 AM IST,Ligue 1,Nice,Lorient,0-0,D,H,0.393,0.265,0.341,3,0.052,1.398,1.284,2.682,95.8,False,H,0.389,0.279,0.332,False
420582306,2026-08-23,12:15 AM IST,Ligue 1,Le Mans,Brest,2-2,D,H,0.458,0.26,0.281,3,0.177,1.56,1.167,2.727,71.1,False,H,0.454,0.271,0.275,False
420582312,2026-08-23,01:00 AM IST,La Liga,Espanyol,Real Madrid,1-2,A,A,0.255,0.226,0.518,3,0.263,1.086,1.654,2.74,-229.7,True,A,0.247,0.264,0.489,True
420583622,2026-08-23,06:30 PM IST,Premier League,Manchester City,AFC Bournemouth,2-1,H,H,0.607,0.192,0.201,3,0.406,1.909,0.999,2.908,276.2,True,H,0.58,0.235,0.184,True
420583619,2026-08-23,06:30 PM IST,Ligue 1,Angers SCO,LOSC Lille,0-2,A,A,0.222,0.245,0.533,2,0.311,0.94,1.604,2.544,-164.0,True,A,0.213,0.269,0.518,True
420583623,2026-08-23,06:30 PM IST,Premier League,Brighton & Hove Albion,Aston Villa,4-0,H,H,0.481,0.244,0.275,3,0.206,1.615,1.159,2.774,104.5,True,H,0.473,0.265,0.261,True
420583743,2026-08-23,08:30 PM IST,La Liga,Atlético de Madrid,Villarreal,2-2,D,H,0.402,0.249,0.348,3,0.054,1.481,1.361,2.842,118.4,False,H,0.394,0.271,0.335,False
420583751,2026-08-23,08:45 PM IST,Ligue 1,Le Havre,Monaco,0-1,A,A,0.33,0.265,0.404,3,0.074,1.261,1.422,2.683,-90.8,True,A,0.329,0.278,0.394,True
420583753,2026-08-23,09:00 PM IST,Premier League,Newcastle United,Liverpool,2-2,D,A,0.353,0.263,0.384,3,0.031,1.384,1.454,2.838,-7.5,False,A,0.353,0.27,0.378,False
420583778,2026-08-23,10:00 PM IST,Serie A,Frosinone,Juventus,0-1,A,A,0.284,0.248,0.467,3,0.183,1.148,1.544,2.692,-151.3,True,A,0.277,0.271,0.452,True
420583777,2026-08-23,10:00 PM IST,Serie A,Venezia,Lecce,0-2,A,H,0.4,0.284,0.316,3,0.084,1.298,1.12,2.418,82.1,False,H,0.396,0.294,0.31,False
