fixture_id,date_ist,kickoff_ist,league,home_team,away_team,score,actual_outcome,v4_p_H,v4_p_D,v4_p_A,v4_pred,v4_correct,refined_p_H,refined_p_D,refined_p_A,refined_pred,refined_correct,v4_p_D_rank,refined_p_D_rank,p_D_delta (%),is_draw_match
420581351,2026-08-22,12:15 AM IST,Ligue 1,Olympique Marseille,Strasbourg,4-0,H,0.509,0.232,0.259,H,True,0.494,0.255,0.251,H,True,3,2,2.26,False
420581362,2026-08-22,12:30 AM IST,Premier League,Arsenal,Coventry City,3-0,H,0.62,0.184,0.196,H,True,0.582,0.234,0.184,H,True,3,2,5.01,False
420581363,2026-08-22,12:30 AM IST,La Liga,Real Betis,Real Sociedad,1-0,H,0.543,0.222,0.236,H,True,0.524,0.248,0.228,H,True,3,2,2.61,False
420581845,2026-08-22,05:00 PM IST,Premier League,Hull City,Manchester United,2-0,H,0.342,0.262,0.396,A,False,0.342,0.263,0.396,A,False,3,3,0.07,False
420582048,2026-08-22,07:30 PM IST,Premier League,Nottingham Forest,Leeds United,0-1,A,0.454,0.245,0.301,H,False,0.442,0.266,0.293,H,False,3,3,2.08,False
420582049,2026-08-22,07:30 PM IST,Premier League,Ipswich Town,Sunderland,2-1,H,0.316,0.271,0.413,A,False,0.319,0.265,0.417,A,False,3,3,-0.64,False
420582050,2026-08-22,07:30 PM IST,Premier League,Everton,Crystal Palace,2-0,H,0.44,0.258,0.303,H,True,0.434,0.268,0.299,H,True,3,3,1.0,False
420582189,2026-08-22,08:30 PM IST,La Liga,Athletic Club,Sevilla,1-3,A,0.455,0.252,0.293,H,False,0.437,0.282,0.281,H,False,3,2,2.97,False
420582220,2026-08-22,08:45 PM IST,Ligue 1,Lens,Auxerre,5-2,H,0.61,0.195,0.195,H,True,0.58,0.235,0.185,H,True,2,2,3.95,False
420582256,2026-08-22,10:00 PM IST,Premier League,Brentford,Tottenham Hotspur,3-0,H,0.422,0.243,0.335,H,True,0.404,0.276,0.32,H,True,3,3,3.31,False
420582255,2026-08-22,10:00 PM IST,Serie A,Inter,Monza,4-1,H,0.789,0.108,0.103,H,True,0.735,0.169,0.096,H,True,2,2,6.07,False
420582254,2026-08-22,10:00 PM IST,Serie A,Udinese,Como,1-1,D,0.292,0.275,0.432,A,False,0.29,0.28,0.429,A,False,3,3,0.54,True
420582269,2026-08-22,11:00 PM IST,La Liga,Valencia,Celta de Vigo,0-0,D,0.464,0.264,0.272,H,False,0.46,0.27,0.27,H,False,3,2,0.62,True
420582305,2026-08-23,12:15 AM IST,Ligue 1,Nice,Lorient,0-0,D,0.393,0.265,0.341,H,False,0.379,0.292,0.329,H,False,3,3,2.73,True
420582304,2026-08-23,12:15 AM IST,Ligue 1,Toulouse,Olympique Lyonnais,0-2,A,0.338,0.267,0.395,A,True,0.333,0.278,0.389,A,True,3,3,1.15,False
420582303,2026-08-23,12:15 AM IST,Ligue 1,Troyes,Paris,0-0,D,0.226,0.233,0.541,A,False,0.223,0.242,0.534,A,False,2,2,0.94,True
420582302,2026-08-23,12:15 AM IST,Serie A,Genoa,Napoli,0-2,A,0.277,0.263,0.46,A,True,0.27,0.283,0.448,A,True,3,2,1.96,False
420582301,2026-08-23,12:15 AM IST,Serie A,Parma,Cagliari,0-1,A,0.353,0.274,0.373,A,True,0.338,0.304,0.358,A,True,3,3,3.01,False
420582306,2026-08-23,12:15 AM IST,Ligue 1,Le Mans,Brest,2-2,D,0.458,0.26,0.281,H,False,0.45,0.274,0.276,H,False,3,3,1.36,True
420582312,2026-08-23,01:00 AM IST,La Liga,Espanyol,Real Madrid,1-2,A,0.255,0.226,0.518,A,True,0.243,0.263,0.494,A,True,3,2,3.72,False
420583622,2026-08-23,06:30 PM IST,Premier League,Manchester City,AFC Bournemouth,2-1,H,0.607,0.192,0.201,H,True,0.584,0.222,0.193,H,True,3,2,3.02,False
420583619,2026-08-23,06:30 PM IST,Ligue 1,Angers SCO,LOSC Lille,0-2,A,0.222,0.245,0.533,A,True,0.214,0.273,0.513,A,True,2,2,2.78,False
420583623,2026-08-23,06:30 PM IST,Premier League,Brighton & Hove Albion,Aston Villa,4-0,H,0.481,0.244,0.275,H,True,0.477,0.251,0.273,H,True,3,3,0.69,False
420583743,2026-08-23,08:30 PM IST,La Liga,Atlético de Madrid,Villarreal,2-2,D,0.402,0.249,0.348,H,False,0.388,0.276,0.336,H,False,3,3,2.67,True
420583751,2026-08-23,08:45 PM IST,Ligue 1,Le Havre,Monaco,0-1,A,0.33,0.265,0.404,A,True,0.319,0.29,0.391,A,True,3,3,2.52,False
420583753,2026-08-23,09:00 PM IST,Premier League,Newcastle United,Liverpool,2-2,D,0.353,0.263,0.384,A,False,0.354,0.26,0.386,A,False,3,3,-0.3,True
420583777,2026-08-23,10:00 PM IST,Serie A,Venezia,Lecce,0-2,A,0.4,0.284,0.316,H,False,0.387,0.307,0.306,H,False,3,2,2.27,False
420583778,2026-08-23,10:00 PM IST,Serie A,Frosinone,Juventus,0-1,A,0.284,0.248,0.467,A,True,0.274,0.276,0.45,A,True,3,2,2.81,False
