fixture_id,date_ist,kickoff_ist,league,home_team,away_team,score,actual_outcome,v4_p_H,v4_p_D,v4_p_A,v4_decision,v4_correct,calibrated_p_H,calibrated_p_D,calibrated_p_A,calibrated_decision,calibrated_correct,draw_delta,home_delta,away_delta,decision_changed,is_actual_draw
420581351,2026-08-22,12:15 AM IST,Ligue 1,Olympique Marseille,Strasbourg,4-0,H,0.509,0.232,0.259,H,True,0.4844364737989185,0.26906245210693625,0.24650107409414518,H,True,0.03706245210693623,-0.024563526201081487,-0.01249892590585483,False,False
420581362,2026-08-22,12:30 AM IST,Premier League,Arsenal,Coventry City,3-0,H,0.62,0.184,0.196,H,True,0.5938452879672669,0.21842297583662942,0.18773173619610373,H,True,0.03442297583662943,-0.02615471203273312,-0.00826826380389628,False,False
420581363,2026-08-22,12:30 AM IST,La Liga,Real Betis,Real Sociedad,1-0,H,0.543,0.222,0.236,H,True,0.516929125043529,0.2584018629670184,0.2246690119894527,H,True,0.036623641188796574,-0.02552841741401357,-0.011095223774783086,False,False
420581845,2026-08-22,05:00 PM IST,Premier League,Hull City,Manchester United,2-0,H,0.342,0.262,0.396,A,False,0.32438841258452067,0.30000395179129763,0.3756076356241818,A,False,0.03800395179129762,-0.017611587415479357,-0.020392364375818206,False,False
420582048,2026-08-22,07:30 PM IST,Premier League,Nottingham Forest,Leeds United,0-1,A,0.454,0.245,0.301,H,False,0.4314311049525839,0.28253197304140787,0.2860369220060082,H,False,0.03753197304140787,-0.022568895047416104,-0.014963077993991769,False,False
420582049,2026-08-22,07:30 PM IST,Premier League,Ipswich Town,Sunderland,2-1,H,0.316,0.271,0.413,A,False,0.2994449834701684,0.30919179446280776,0.39136322206702384,A,False,0.03819179446280774,-0.0165550165298316,-0.021636777932976137,False,False
420582050,2026-08-22,07:30 PM IST,Premier League,Everton,Crystal Palace,2-0,H,0.44,0.258,0.303,H,True,0.417116080607109,0.2956426184293592,0.28724130096353184,H,True,0.0379003606871014,-0.022444358953330634,-0.015456001733770874,False,False
420582189,2026-08-22,08:30 PM IST,La Liga,Athletic Club,Sevilla,1-3,A,0.455,0.252,0.293,H,False,0.432039948770388,0.2897453149884611,0.2782147362411509,H,False,0.03774531498846112,-0.022960051229612033,-0.014785263758849088,False,False
420582220,2026-08-22,08:45 PM IST,Ligue 1,Lens,Auxerre,5-2,H,0.61,0.195,0.195,H,True,0.583354853826357,0.23016285683570922,0.18648228933793382,H,True,0.035162856835709216,-0.026645146173642997,-0.008517710662066191,False,False
420582255,2026-08-22,10:00 PM IST,Serie A,Inter,Monza,4-1,H,0.789,0.108,0.103,H,True,0.7654559468613912,0.13461761140638662,0.09992644173222216,H,True,0.026617611406386618,-0.023544053138608856,-0.0030735582677778317,False,False
