fixture_id,competition,season,home_team,away_team,scheduled_kickoff,prediction_timestamp,v4_home_prob,v4_draw_prob,v4_away_prob,v4_decision,shadow_home_prob,shadow_draw_prob,shadow_away_prob,shadow_decision,draw_probability_delta,home_probability_delta,away_probability_delta,decision_changed,model_version,calibrator_version,status
420587320,Serie A,2025/2026,Bologna,Lazio,2026-08-24T16:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.421,0.278,0.3,H,0.399,0.3166,0.2844,H,0.0383,-0.0224,-0.0159,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420587324,La Liga,2025/2026,Osasuna,Levante,2026-08-24T17:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.417,0.251,0.332,H,0.396,0.2887,0.3153,H,0.0377,-0.021,-0.0167,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420587329,Serie A,2025/2026,Roma,Fiorentina,2026-08-24T18:45:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.568,0.22,0.212,H,0.5414,0.2565,0.2021,H,0.0365,-0.0266,-0.0099,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420587333,Premier League,2025/2026,Fulham,Chelsea,2026-08-24T19:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.419,0.271,0.31,H,0.397,0.3092,0.2938,H,0.0382,-0.022,-0.0162,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420587334,La Liga,2025/2026,Málaga,Deportivo A Coruña,2026-08-24T19:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.426,0.261,0.313,H,0.4041,0.299,0.2969,H,0.038,-0.0219,-0.0161,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420591039,La Liga,2025/2026,Valencia,Real Betis,2026-08-25T19:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.379,0.28,0.341,H,0.3588,0.3183,0.3228,H,0.0383,-0.0202,-0.0182,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420591236,La Liga,2025/2026,Real Madrid,Real Sociedad,2026-08-26T19:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.672,0.165,0.163,H,0.6455,0.1979,0.1566,H,0.0329,-0.0265,-0.0064,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420579222,La Liga,2025/2026,Celta de Vigo,Osasuna,2026-08-27T18:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.394,0.253,0.353,H,0.3741,0.2908,0.3351,H,0.0378,-0.0199,-0.0179,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420591557,La Liga,2025/2026,FC Barcelona,Athletic Club,2026-08-27T19:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.636,0.173,0.191,H,0.6102,0.2066,0.1832,H,0.0336,-0.0258,-0.0078,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420591910,La Liga,2025/2026,Racing Santander,Elche,2026-08-28T17:00:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.453,0.255,0.292,H,0.43,0.2928,0.2772,H,0.0378,-0.023,-0.0148,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420591966,Bundesliga,2025/2026,FC Bayern München,VfB Stuttgart,2026-08-28T18:30:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.673,0.154,0.172,H,0.6482,0.1861,0.1657,H,0.032,-0.0255,-0.0065,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420591974,Ligue 1,2025/2026,LOSC Lille,Paris Saint Germain,2026-08-28T18:45:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.355,0.274,0.372,A,0.336,0.312,0.3521,A,0.0382,-0.0187,-0.0196,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
420591973,Serie A,2025/2026,AC Milan,Venezia,2026-08-28T18:45:00.000000Z,2026-08-24T11:51:20.207460+00:00,0.565,0.204,0.231,H,0.5397,0.2397,0.2206,H,0.0357,-0.0253,-0.0104,False,v4.0-champion-dc-elo-stacking,step2e-shadow-1,NS
