policy,n_matches,accuracy,baseline_accuracy,accuracy_delta,net_correct_delta,draw_predictions,correct_draws,draw_recall,draw_precision,draw_f1,macro_f1,balanced_accuracy,home_precision,home_recall,away_precision,away_recall,decisions_changed,rescued_draws,damaged_wins,false_draw_flips
A_standard_argmax,8983,52.76633641322498,52.76633641322498,0.0,0,0,0,0.0,0.0,0.0,0.39556394615952395,46.071050529735864,53.66788639135738,80.3129074315515,51.17139334155364,57.90024415765609,0,0,0,0
B_win_margin_gate,8983,52.66614716687076,52.76633641322498,-0.10018924635421911,-9,165,47,2.0604997807978958,28.484848484848484,3.8430089942763694,0.40753938119557914,46.177229073978545,53.96432986049797,79.6870925684485,51.60063391442156,56.78409487268922,165,47,56,118
C_calibrated_draw_thresh,8983,52.287654458421464,52.76633641322498,-0.4786819548035126,-43,694,226,9.907935116177114,32.564841498559076,15.193277310924367,0.4390361196141938,46.566032592430304,54.75488389237007,77.47066492829204,52.39259517988124,52.31949773282176,694,226,269,468
D_draw_and_win_parity,8983,51.864633196036955,52.76633641322498,-0.9017032171880217,-81,922,275,12.05611573871109,29.826464208242946,17.17140181080237,0.44368710169774267,46.42905533590702,55.33004552352049,76.0625814863103,52.599498027967016,51.168468782699684,922,275,356,647
E_draw_and_score_space,8983,51.931426026939775,52.76633641322498,-0.8349103862852019,-75,857,266,11.661551950898728,31.03850641773629,16.953473550031866,0.4437175551538663,46.55703817571846,55.18822854958915,75.3063885267275,52.22951952989976,52.703174049529125,857,266,341,591
F_draw_and_low_goals,8983,52.48803295112992,52.76633641322498,-0.2783034620950602,-25,232,72,3.156510302498904,31.03448275862069,5.730202944687625,0.4122055272774912,46.17152570773535,54.03471103954196,78.748370273794,51.32827324478178,56.60969654691315,232,72,97,160
G_draw_and_elo_parity,8983,50.03896248469331,52.76633641322498,-2.7273739285316694,-245,1725,485,21.262604120999562,28.115942028985508,24.21367948077883,0.44445390490601255,45.15835725317903,55.46250475827941,75.98435462842242,54.690618762475054,38.22811301011511,1725,485,730,1240
H_draw_confidence_score,8983,52.76633641322498,52.76633641322498,0.0,0,0,0,0.0,0.0,0.0,0.39556394615952395,46.071050529735864,53.66788639135738,80.3129074315515,51.17139334155364,57.90024415765609,0,0,0,0
I_selective_draw_gate,8983,52.26539018145385,52.76633641322498,-0.500946231771124,-45,250,64,2.8057869355545813,25.6,5.057289608850256,0.40860269438186875,45.844666891258996,53.904728174251815,79.374185136897,51.42579390797148,55.354028601325425,250,64,109,186
J_platt_calibrated_argmax,8983,52.73293999777358,52.76633641322498,-0.033396415451399264,-3,17,5,0.21920210434020165,29.411764705882355,0.4351610095735422,0.39676299383263974,46.065778867200784,53.6836592178771,80.1825293350717,51.17356392835083,57.79560516219044,17,5,8,12
