policy,actual,pred_H,pred_D,pred_A
A_standard_argmax,H,608,0,163
A_standard_argmax,D,275,0,170
A_standard_argmax,A,233,0,302
B_win_margin_gate,H,603,15,153
B_win_margin_gate,D,268,11,166
B_win_margin_gate,A,227,8,300
C_calibrated_draw_thresh,H,585,52,134
C_calibrated_draw_thresh,D,258,35,152
C_calibrated_draw_thresh,A,211,41,283
D_draw_and_win_parity,H,562,77,132
D_draw_and_win_parity,D,239,58,148
D_draw_and_win_parity,A,198,65,272
E_draw_and_score_space,H,565,65,141
E_draw_and_score_space,D,241,47,157
E_draw_and_score_space,A,204,47,284
F_draw_and_low_goals,H,599,15,157
F_draw_and_low_goals,D,266,11,168
F_draw_and_low_goals,A,227,11,297
G_draw_and_elo_parity,H,552,126,93
G_draw_and_elo_parity,D,244,93,108
G_draw_and_elo_parity,A,200,116,219
H_draw_confidence_score,H,608,0,163
H_draw_confidence_score,D,275,0,170
H_draw_confidence_score,A,233,0,302
I_selective_draw_gate,H,601,23,147
I_selective_draw_gate,D,268,11,166
I_selective_draw_gate,A,227,15,293
J_platt_calibrated_argmax,H,606,3,162
J_platt_calibrated_argmax,D,275,0,170
J_platt_calibrated_argmax,A,233,0,302
