feature,coefficient,abs_importance
cal_win_diff,0.5018185389734784,0.5018185389734784
lambda_gap,-0.4714135636721438,0.4714135636721438
p_score_space_draw,0.4131051247382829,0.4131051247382829
lambda_total,-0.2011426469899901,0.2011426469899901
cal_win_to_draw_margin,-0.19484180716474286,0.19484180716474286
cal_p_D,0.19169267776915216,0.19169267776915216
p_low_score_mass,-0.17438510879693458,0.17438510879693458
p_00,0.16502615715612923,0.16502615715612923
ad_net_power_gap,-0.1138417305200903,0.1138417305200903
p_11,0.108993596250291,0.108993596250291
abs_elo_diff,0.00032572761861295117,0.00032572761861295117
