policy,n_matches,accuracy,baseline_accuracy,accuracy_delta,net_correct_delta,draw_predictions,correct_draws,draw_recall,draw_precision,draw_f1,macro_f1,balanced_accuracy,home_precision,home_recall,away_precision,away_recall,decisions_changed,rescued_draws,damaged_wins,false_draw_flips,league
A_standard_argmax,1530,51.307189542483655,51.307189542483655,0.0,0,0,0,0.0,0.0,0.0,0.3819904284967066,44.460561396633985,52.91750503018109,78.62481315396114,48.32089552238806,54.756871035940804,0,0,0,0,Bundesliga
B_win_margin_gate,1530,51.503267973856204,51.307189542483655,0.19607843137254832,3,7,3,0.7731958762886598,42.857142857142854,1.5189873417721518,0.38807244937048396,44.718293355396874,53.13131313131313,78.62481315396114,48.592870544090054,54.756871035940804,7,3,0,4,Bundesliga
C_calibrated_draw_thresh,1530,51.5686274509804,51.307189542483655,0.2614379084967453,4,30,10,2.5773195876288657,33.33333333333333,4.784688995215311,0.39939201051630563,44.97942115739786,53.428863868986696,78.02690582959642,49.1395793499044,54.33403805496829,30,10,6,20,Bundesliga
D_draw_and_win_parity,1530,50.26143790849673,51.307189542483655,-1.0457516339869244,-16,129,35,9.02061855670103,27.131782945736433,13.539651837524177,0.4190046399504925,44.43081084515696,53.82955771305286,74.58893871449925,49.57805907172996,49.68287526427061,129,35,51,94,Bundesliga
E_draw_and_score_space,1530,51.17647058823529,51.307189542483655,-0.13071895424836555,-2,67,21,5.412371134020619,31.343283582089555,9.230769230769232,0.41111358968049894,44.95352364455492,53.50785340314136,76.38266068759341,49.40944881889764,53.06553911205074,67,21,23,46,Bundesliga
F_draw_and_low_goals,1530,51.307189542483655,51.307189542483655,0.0,0,0,0,0.0,0.0,0.0,0.3819904284967066,44.460561396633985,52.91750503018109,78.62481315396114,48.32089552238806,54.756871035940804,0,0,0,0,Bundesliga
G_draw_and_elo_parity,1530,49.28104575163399,51.307189542483655,-2.026143790849666,-31,273,73,18.814432989690722,26.73992673992674,22.087745839636916,0.4333028130065551,44.04297720342307,55.06117908787542,73.99103139013454,51.955307262569825,39.323467230443974,273,73,104,200,Bundesliga
H_draw_confidence_score,1530,51.307189542483655,51.307189542483655,0.0,0,0,0,0.0,0.0,0.0,0.3819904284967066,44.460561396633985,52.91750503018109,78.62481315396114,48.32089552238806,54.756871035940804,0,0,0,0,Bundesliga
I_selective_draw_gate,1530,51.307189542483655,51.307189542483655,0.0,0,2,1,0.25773195876288657,50.0,0.5128205128205128,0.3833776717047818,44.47599988605952,52.91750503018109,78.62481315396114,48.31460674157304,54.54545454545454,2,1,1,1,Bundesliga
J_platt_calibrated_argmax,1530,51.307189542483655,51.307189542483655,0.0,0,0,0,0.0,0.0,0.0,0.3819904284967066,44.460561396633985,52.91750503018109,78.62481315396114,48.32089552238806,54.756871035940804,0,0,0,0,Bundesliga
A_standard_argmax,1900,52.526315789473685,52.526315789473685,0.0,0,0,0,0.0,0.0,0.0,0.39332545000656943,46.23747239680653,54.18641390205371,81.56956004756243,49.21135646687697,57.14285714285714,0,0,0,0,La Liga
B_win_margin_gate,1900,51.68421052631579,52.526315789473685,-0.8421052631578974,-16,86,18,3.508771929824561,20.930232558139537,6.010016694490818,0.40908846387612924,45.69541097171112,54.70155355682748,79.54815695600476,49.91539763113367,54.02930402930403,86,18,34,68,La Liga
C_calibrated_draw_thresh,1900,50.578947368421055,52.526315789473685,-1.94736842105263,-37,382,119,23.196881091617932,31.151832460732987,26.592178770949722,0.4566688282753566,46.030644837412055,56.877323420074354,72.77051129607611,52.03619909502263,42.124542124542124,382,119,156,263,La Liga
D_draw_and_win_parity,1900,52.31578947368421,52.526315789473685,-0.21052631578947256,-4,283,95,18.51851851851852,33.56890459363957,23.86934673366834,0.4634916294311302,47.43709117470513,57.194244604316545,75.62425683709868,52.07920792079208,48.16849816849817,283,95,99,188,La Liga
E_draw_and_score_space,1900,50.31578947368421,52.526315789473685,-2.2105263157894726,-42,446,139,27.09551656920078,31.16591928251121,28.98852971845672,0.4645379049368669,46.510623778704804,58.484848484848484,68.84661117717003,51.293103448275865,43.58974358974359,446,139,181,307,La Liga
F_draw_and_low_goals,1900,51.26315789473684,52.526315789473685,-1.2631578947368425,-24,193,59,11.500974658869396,30.569948186528496,16.71388101983003,0.43760547068993266,46.13895498389731,55.57506584723442,75.26753864447086,49.647887323943664,51.64835164835166,193,59,83,134,La Liga
G_draw_and_elo_parity,1900,49.63157894736842,52.526315789473685,-2.8947368421052673,-55,401,123,23.976608187134502,30.673316708229425,26.914660831509845,0.436745750053908,44.28359663042685,56.05928509154315,76.45659928656362,50.28409090909091,32.417582417582416,401,123,178,278,La Liga
H_draw_confidence_score,1900,52.526315789473685,52.526315789473685,0.0,0,0,0,0.0,0.0,0.0,0.39332545000656943,46.23747239680653,54.18641390205371,81.56956004756243,49.21135646687697,57.14285714285714,0,0,0,0,La Liga
I_selective_draw_gate,1900,50.63157894736842,52.526315789473685,-1.8947368421052673,-36,159,40,7.797270955165692,25.157232704402517,11.904761904761903,0.4170366664851192,44.817784558485904,54.522821576763484,78.12128418549345,49.440298507462686,48.53479853479853,159,40,76,119,La Liga
J_platt_calibrated_argmax,1900,52.31578947368421,52.526315789473685,-0.21052631578947256,-4,13,3,0.5847953216374269,23.076923076923077,1.1406844106463878,0.39593581098022096,46.11212727490342,54.17661097852029,80.97502972651606,49.2063492063492,56.776556776556774,13,3,7,10,La Liga
A_standard_argmax,1752,51.598173515981735,51.598173515981735,0.0,0,0,0,0.0,0.0,0.0,0.3844525105868118,44.702422413125916,52.2202486678508,80.54794520547945,50.47923322683706,53.559322033898304,0,0,0,0,Ligue 1
B_win_margin_gate,1752,51.71232876712328,51.598173515981735,0.1141552511415469,2,32,11,2.5462962962962963,34.375,4.741379310344827,0.4000699575497974,45.07521849300737,52.56064690026954,80.13698630136986,51.07084019769358,52.54237288135594,32,11,9,21,Ligue 1
C_calibrated_draw_thresh,1752,51.08447488584474,51.598173515981735,-0.513698630136993,-9,139,47,10.87962962962963,33.81294964028777,16.46234676007005,0.42928782042419594,45.33848501004681,53.159851301115246,78.35616438356165,51.39664804469274,46.779661016949156,139,47,56,92,Ligue 1
D_draw_and_win_parity,1752,50.171232876712324,51.598173515981735,-1.4269406392694108,-25,204,60,13.88888888888889,29.411764705882355,18.867924528301884,0.4328036066203366,44.930689919080905,53.599221789883266,75.47945205479452,51.53846153846153,45.42372881355932,204,60,85,144,Ligue 1
E_draw_and_score_space,1752,50.39954337899544,51.598173515981735,-1.1986301369862957,-21,197,58,13.425925925925927,29.441624365482234,18.441971383147855,0.4343646782933048,45.15869228101253,54.10484668644906,74.93150684931507,51.10294117647059,47.11864406779661,197,58,79,139,Ligue 1
F_draw_and_low_goals,1752,51.48401826484018,51.598173515981735,-0.114155251141554,-2,6,1,0.23148148148148145,16.666666666666664,0.45662100456621,0.38525789503719254,44.620926456213965,52.31729055258467,80.41095890410959,50.32051282051282,53.22033898305085,6,1,3,5,Ligue 1
G_draw_and_elo_parity,1752,47.71689497716895,51.598173515981735,-3.8812785388127864,-68,381,104,24.074074074074073,27.296587926509186,25.584255842558427,0.4228341032664227,43.377992186133966,53.16698656429942,75.89041095890411,54.1033434650456,30.16949152542373,381,104,172,277,Ligue 1
H_draw_confidence_score,1752,51.598173515981735,51.598173515981735,0.0,0,0,0,0.0,0.0,0.0,0.3844525105868118,44.702422413125916,52.2202486678508,80.54794520547945,50.47923322683706,53.559322033898304,0,0,0,0,Ligue 1
I_selective_draw_gate,1752,51.141552511415526,51.598173515981735,-0.4566210045662089,-8,37,8,1.8518518518518516,21.62162162162162,3.4115138592750527,0.3926438581482379,44.459091860221804,52.47079964061096,80.0,50.498338870431894,51.52542372881356,37,8,16,29,Ligue 1
J_platt_calibrated_argmax,1752,51.65525114155252,51.598173515981735,0.05707762557078411,1,2,1,0.23148148148148145,50.0,0.46082949308755755,0.3862164480519599,44.77958290695308,52.313167259786475,80.54794520547945,50.47923322683706,53.559322033898304,2,1,0,1,Ligue 1
A_standard_argmax,1900,54.473684210526315,54.473684210526315,0.0,0,0,0,0.0,0.0,0.0,0.4037815691471467,46.212426890109846,55.51782682512734,79.65895249695494,52.77008310249307,58.978328173374614,0,0,0,0,Premier League
B_win_margin_gate,1900,54.368421052631575,54.473684210526315,-0.10526315789473983,-2,6,0,0.0,0.0,0.0,0.403620557219383,46.10922771570324,55.51782682512734,79.65895249695494,52.932960893854755,58.6687306501548,6,0,2,6,Premier League
