policy,n_matches,accuracy,baseline_accuracy,accuracy_delta,net_correct_delta,draw_predictions,correct_draws,draw_recall,draw_precision,draw_f1,macro_f1,balanced_accuracy,home_precision,home_recall,away_precision,away_recall,decisions_changed,rescued_draws,damaged_wins,false_draw_flips,parameter_type,parameter_value
Policy_C_dthresh_0.26,8983,40.49871980407436,52.76633641322498,-12.267616609150615,-1102,6046,1685,73.87110916264797,27.869665894806484,40.47075777590969,0.382444946726234,42.86377913766464,67.28558797524315,39.6870925684485,63.85185185185185,15.033135681897452,6046,1685,2787,4361,draw_threshold,0.26
Policy_C_dthresh_0.28,8983,44.21685405766448,52.76633641322498,-8.5494823555605,-768,4693,1310,57.43095133713284,27.91391434050714,37.56811012331518,0.4261284343793132,44.21830672336096,62.797992471769135,52.20338983050847,59.89110707803993,23.020579002441576,4693,1310,2078,3383,draw_threshold,0.28
Policy_C_dthresh_0.30,8983,48.59178448179895,52.76633641322498,-4.1745519314260235,-375,2652,760,33.318719859710654,28.657616892911008,30.81289276302453,0.4562157881388127,45.55120534415062,57.42328519855595,66.36245110821382,55.81885202738284,36.972445064527385,2652,760,1135,1892,draw_threshold,0.3
Policy_C_dthresh_0.32,8983,52.287654458421464,52.76633641322498,-0.4786819548035126,-43,694,226,9.907935116177114,32.564841498559076,15.193277310924367,0.4390361196141938,46.566032592430304,54.75488389237007,77.47066492829204,52.39259517988124,52.31949773282176,694,226,269,468,draw_threshold,0.32
Policy_C_dthresh_0.34,8983,52.688411443838355,52.76633641322498,-0.07792496938662197,-7,42,11,0.48224462954844366,26.190476190476193,0.9470512268618166,0.39817095241721406,46.045998204278746,53.71568456023781,80.10430247718384,51.21042830540037,57.55144750610393,42,11,18,31,draw_threshold,0.34
Policy_C_dthresh_0.36,8983,52.76633641322498,52.76633641322498,0.0,0,0,0,0.0,0.0,0.0,0.39556394615952395,46.071050529735864,53.66788639135738,80.3129074315515,51.17139334155364,57.90024415765609,0,0,0,0,draw_threshold,0.36
Policy_B_margin_0.04,8983,52.74407213625738,52.76633641322498,-0.02226427696759714,-2,2,0,0.0,0.0,0.0,0.3954372376983844,46.050732101585474,53.6598117811084,80.28683181225554,51.15633672525439,57.86536449250087,2,0,2,2,margin_threshold,0.04
Policy_B_margin_0.06,8983,52.73293999777358,52.76633641322498,-0.033396415451399264,-3,20,5,0.21920210434020165,25.0,0.43459365493263796,0.39683558840355054,46.065778867200784,53.702410059378266,80.1825293350717,51.18937287611986,57.79560516219044,20,5,8,15,margin_threshold,0.06
Policy_B_margin_0.08,8983,52.66614716687076,52.76633641322498,-0.10018924635421911,-9,165,47,2.0604997807978958,28.484848484848484,3.8430089942763694,0.40753938119557914,46.177229073978545,53.96432986049797,79.6870925684485,51.60063391442156,56.78409487268922,165,47,56,118,margin_threshold,0.08
Policy_B_margin_0.10,8983,52.59935433596794,52.76633641322498,-0.16698207725703895,-15,531,177,7.75975449364314,33.33333333333333,12.588904694167852,0.43357617127390097,46.67185007507569,54.681511224676036,78.122555410691,52.203161789438276,54.13324032089292,531,177,192,354,margin_threshold,0.1
Policy_B_margin_0.12,8983,51.686518980296114,52.76633641322498,-1.0798174329288628,-97,1100,340,14.905743095133714,30.909090909090907,20.112392783200235,0.449960683455191,46.507612529064495,55.5065234075211,75.43676662320729,52.78921752152752,49.18032786885246,1100,340,437,760,margin_threshold,0.12
Policy_B_margin_0.14,8983,50.94066570188133,52.76633641322498,-1.8256707113436477,-164,1714,522,22.884699693117053,30.455075845974328,26.132665832290364,0.46270727220214286,46.68017331198834,56.376663254861825,71.8122555410691,54.530201342281885,45.34356470177887,1714,522,686,1192,margin_threshold,0.14
Policy_H_score_0.28,8983,48.959145051764445,52.76633641322498,-3.807191361460532,-342,2942,871,38.18500657606313,29.6057104010877,33.35247941795903,0.4726858827984519,47.02064288417549,60.1472134595163,59.66101694915255,55.38667858739383,43.215905127310776,2942,871,1213,2071,confidence_score_threshold,0.28
