bin_idx,bin_range,count,mean_predicted_prob,actual_draw_rate,abs_calibration_error,dataset
1,0.00 - 0.10,2290,0.018046056986620946,0.2,0.18195394301337905,Historical Training Era
2,0.10 - 0.20,1048,0.15323953603613366,0.23282442748091603,0.07958489144478237,Historical Training Era
3,0.20 - 0.30,1092,0.24909189865402157,0.2765567765567766,0.02746487790275501,Historical Training Era
4,0.30 - 0.40,803,0.3463255892256485,0.25155666251556663,0.09476892671008186,Historical Training Era
5,0.40 - 0.50,812,0.4502769983617562,0.25985221674876846,0.19042478161298776,Historical Training Era
6,0.50 - 0.60,882,0.5519400929799388,0.2811791383219955,0.27076095465794336,Historical Training Era
7,0.60 - 0.70,896,0.6496643536228751,0.2924107142857143,0.3572536393371608,Historical Training Era
8,0.70 - 0.80,770,0.7464737251091251,0.2909090909090909,0.45556463420003424,Historical Training Era
9,0.80 - 0.90,361,0.8369726206211473,0.33518005540166207,0.5017925652194852,Historical Training Era
10,0.90 - 1.00,29,0.9187822430391112,0.3103448275862069,0.6084374154529042,Historical Training Era
1,0.00 - 0.10,466,0.019097623182010907,0.18669527896995708,0.16759765578794616,Untouched Holdout Season
2,0.10 - 0.20,220,0.15240723609922505,0.2545454545454545,0.10213821844622947,Untouched Holdout Season
3,0.20 - 0.30,195,0.25010724655868066,0.2564102564102564,0.006303009851575725,Untouched Holdout Season
4,0.30 - 0.40,160,0.35011198194792825,0.275,0.07511198194792823,Untouched Holdout Season
5,0.40 - 0.50,127,0.44967980514150746,0.25984251968503935,0.1898372854564681,Untouched Holdout Season
6,0.50 - 0.60,171,0.553736859970404,0.3216374269005848,0.23209943306981923,Untouched Holdout Season
7,0.60 - 0.70,171,0.6522319321939167,0.27485380116959063,0.3773781310243261,Untouched Holdout Season
8,0.70 - 0.80,163,0.751627604448073,0.3006134969325153,0.45101410751555765,Untouched Holdout Season
9,0.80 - 0.90,73,0.8360458421039744,0.3150684931506849,0.5209773489532894,Untouched Holdout Season
10,0.90 - 1.00,5,0.9234303156068006,0.2,0.7234303156068005,Untouched Holdout Season
