risk_tier,match_count,pct_of_matches,mean_risk_score,mean_calibrated_P_D,mean_win_gap,actual_draw_rate,v4_0_accuracy,favorite_failure_rate,competition_name
LOW,945,61.76470588235294,0.13204895887628268,23.09368247718293,38.73527439395911,24.232804232804234,58.201058201058196,41.798941798941804,Bundesliga
MEDIUM,338,22.091503267973856,0.529454570280558,29.530923682717887,11.020938476615623,26.923076923076923,40.532544378698226,59.467455621301774,Bundesliga
HIGH,213,13.92156862745098,0.7172248528855154,30.448067455071083,3.901624436451858,24.88262910798122,41.78403755868544,58.21596244131456,Bundesliga
CRITICAL,34,2.2222222222222223,0.8320261052338234,31.75118283304062,1.1223484843794402,44.11764705882353,26.47058823529412,73.52941176470588,Bundesliga
OVERALL,1530,100.0,0.316862543879399,25.73200047709153,26.927527686810837,25.359477124183005,51.307189542483655,48.692810457516345,Bundesliga
LOW,953,50.1578947368421,0.16973795563282684,24.736650950465627,36.900679347561734,22.9800629590766,62.539349422875134,37.460650577124866,La Liga
MEDIUM,446,23.473684210526315,0.5229959176436967,30.802636508998386,14.280793593753764,28.475336322869953,45.73991031390135,54.26008968609865,La Liga
HIGH,327,17.210526315789473,0.7263945809916316,31.945274507978727,6.566151962153155,35.47400611620795,40.97859327217125,59.02140672782875,La Liga
CRITICAL,174,9.157894736842104,0.8477131946768275,32.92752743727741,2.688843434249759,29.310344827586203,36.7816091954023,63.2183908045977,La Liga
OVERALL,1900,100.0,0.4105524078132654,28.151315145790708,23.237143058012663,27.0,52.526315789473685,47.473684210526315,La Liga
LOW,950,54.22374429223744,0.1565982101642856,24.575849065534477,36.02543052551552,22.105263157894736,59.26315789473684,40.73684210526316,Ligue 1
MEDIUM,486,27.73972602739726,0.5327570075684802,30.254169685749833,12.528073266092893,27.572016460905353,41.9753086419753,58.0246913580247,Ligue 1
HIGH,222,12.67123287671233,0.7274880331773129,31.19668145670728,4.930888919026871,24.324324324324326,48.64864864864865,51.35135135135135,Ligue 1
CRITICAL,94,5.365296803652968,0.8405397717538969,32.32535798919851,1.9028820861126123,36.17021276595745,30.851063829787233,69.14893617021276,Ligue 1
OVERALL,1752,100.0,0.36997790367841465,27.40572489378188,23.736490218424336,24.65753424657534,51.598173515981735,48.401826484018265,Ligue 1
LOW,1239,65.21052631578948,0.12422209163513039,22.964305794950928,38.95593019787648,21.95318805488297,60.37126715092816,39.62873284907184,Premier League
MEDIUM,441,23.210526315789473,0.5242965523308938,29.345797769148025,10.319368795601983,24.71655328798186,45.80498866213152,54.19501133786848,Premier League
HIGH,202,10.631578947368421,0.7100630638752391,30.479553355584848,3.7113703024131253,24.752475247524753,39.10891089108911,60.89108910891089,Premier League
CRITICAL,18,0.9473684210526316,0.8280303704351053,32.02357732194265,1.1933062321784194,11.11111111111111,33.33333333333333,66.66666666666667,Premier League
OVERALL,1900,100.0,0.28603328246551624,25.330297824085047,28.20442919331373,22.789473684210527,54.473684210526315,45.526315789473685,Premier League
LOW,1146,60.28406102051552,0.14206134092098457,24.101701747641638,37.76914870818463,24.083769633507853,61.34380453752182,38.65619546247818,Serie A
MEDIUM,446,23.461336138874277,0.5366993846138748,30.018440113365312,11.675304215500276,29.82062780269058,42.82511210762332,57.17488789237668,Serie A
HIGH,239,12.572330352446082,0.721216213904701,31.064892840351206,4.847586131024579,32.63598326359833,40.1673640167364,59.8326359832636,Serie A
CRITICAL,70,3.682272488164124,0.844079034685032,32.538914816378494,2.056444293350029,40.0,40.0,60.0,Serie A
OVERALL,1901,100.0,0.3333121671669712,26.67596418692724,26.193137446366173,27.091004734350342,53.55076275644398,46.44923724355602,Serie A
