fixture_id,date,league,home_team,away_team,score,v4_p_H,v4_p_D,v4_p_A,calibrated_p_D,v4_decision,actual_outcome,is_draw_actual,v4_correct,draw_risk_score,draw_risk_tier,draw_risk_reason
420581351,2026-08-22,Ligue 1,Olympique Marseille,Strasbourg,4-0,0.509,0.232,0.259,0.2690624521069362,H,H,False,True,0.2081,LOW,"Calibrated P(D)=26.9%, win margin |H-A|=23.8%."
420581362,2026-08-22,Premier League,Arsenal,Coventry City,3-0,0.62,0.184,0.196,0.2184229758366294,H,H,False,True,0.065,LOW,"Calibrated P(D)=21.8%, win margin |H-A|=40.6%."
420581363,2026-08-22,La Liga,Real Betis,Real Sociedad,1-0,0.543,0.222,0.236,0.2584018629670184,H,H,False,True,0.177,LOW,"Calibrated P(D)=25.8%, win margin |H-A|=29.2%."
420581845,2026-08-22,Premier League,Hull City,Manchester United,2-0,0.342,0.262,0.396,0.3000039517912976,A,H,False,False,0.6765,HIGH,"Calibrated P(D)=30.0%, win margin |H-A|=5.1%."
420582048,2026-08-22,Premier League,Nottingham Forest,Leeds United,0-1,0.454,0.245,0.301,0.2825319730414078,H,A,False,False,0.4093,MEDIUM,"Calibrated P(D)=28.3%, win margin |H-A|=14.5%."
420582049,2026-08-22,Premier League,Ipswich Town,Sunderland,2-1,0.316,0.271,0.413,0.3091917944628077,A,H,False,False,0.5673,MEDIUM,"Calibrated P(D)=30.9%, win margin |H-A|=9.2%."
420582050,2026-08-22,Premier League,Everton,Crystal Palace,2-0,0.44,0.258,0.303,0.2956426184293592,H,H,False,True,0.4708,MEDIUM,"Calibrated P(D)=29.6%, win margin |H-A|=13.0%."
420582189,2026-08-22,La Liga,Athletic Club,Sevilla,1-3,0.455,0.252,0.293,0.2897453149884611,H,A,False,False,0.4177,MEDIUM,"Calibrated P(D)=29.0%, win margin |H-A|=15.4%."
420582220,2026-08-22,Ligue 1,Lens,Auxerre,5-2,0.61,0.195,0.195,0.2301628568357092,H,H,False,True,0.0946,LOW,"Calibrated P(D)=23.0%, win margin |H-A|=39.7%."
420582255,2026-08-22,Serie A,Inter,Monza,4-1,0.789,0.108,0.103,0.1346176114063866,H,H,False,True,0.065,LOW,"Calibrated P(D)=13.5%, win margin |H-A|=66.6%."
420582256,2026-08-22,Premier League,Brentford,Tottenham Hotspur,3-0,0.422,0.243,0.335,0.2804660145041601,H,H,False,True,0.4973,MEDIUM,"Calibrated P(D)=28.0%, win margin |H-A|=8.3%."
420582254,2026-08-22,Serie A,Udinese,Como,1-1,0.292,0.275,0.432,0.3135418086372167,A,D,True,False,0.5187,MEDIUM,"Calibrated P(D)=31.4%, win margin |H-A|=13.3%."
420582269,2026-08-22,La Liga,Valencia,Celta de Vigo,0-0,0.464,0.264,0.272,0.3020493187993099,H,D,True,False,0.4112,MEDIUM,"Calibrated P(D)=30.2%, win margin |H-A|=18.2%."
420582305,2026-08-23,Ligue 1,Nice,Lorient,0-0,0.393,0.265,0.341,0.3033422076917179,H,D,True,False,0.689,HIGH,"Calibrated P(D)=30.3%, win margin |H-A|=4.9%."
420582304,2026-08-23,Ligue 1,Toulouse,Olympique Lyonnais,0-2,0.338,0.267,0.395,0.3051134672595101,A,A,False,True,0.6872,HIGH,"Calibrated P(D)=30.5%, win margin |H-A|=5.4%."
420582303,2026-08-23,Ligue 1,Troyes,Paris,0-0,0.226,0.233,0.541,0.2701020370130413,A,D,True,False,0.2111,LOW,"Calibrated P(D)=27.0%, win margin |H-A|=30.0%."
420582302,2026-08-23,Serie A,Genoa,Napoli,0-2,0.277,0.263,0.46,0.3010268967123329,A,A,False,True,0.421,MEDIUM,"Calibrated P(D)=30.1%, win margin |H-A|=17.4%."
