risk_tier,match_count,pct_of_matches,mean_risk_score,mean_calibrated_P_D,mean_win_gap,actual_draw_rate,v4_0_accuracy,favorite_failure_rate,dataset
LOW,5233,58.25448068573973,0.14370882968538454,23.85208102268887,37.74989158312746,23.046053888782726,60.3860118478884,39.6139881521116,Historical Training Era (2020/21–2024/25)
MEDIUM,2157,24.01202270956251,0.5293066457199401,30.019784729625197,12.02641728057719,27.53824756606398,43.48632359758924,56.51367640241076,Historical Training Era (2020/21–2024/25)
HIGH,1203,13.391962596014695,0.7212017282130204,31.121018771488178,4.971824541159284,29.177057356608476,42.061512884455524,57.938487115544476,Historical Training Era (2020/21–2024/25)
CRITICAL,390,4.341534008683068,0.8430559002368423,32.568364282912235,2.180308038042713,33.33333333333333,34.87179487179487,65.12820512820514,Historical Training Era (2020/21–2024/25)
OVERALL,8983,100.0,0.34399868871136147,26.684945263939497,25.639273047596824,25.392407881554046,52.76633641322498,47.23366358677502,Historical Training Era (2020/21–2024/25)
LOW,1041,59.45174186179326,0.1414197065660498,23.558368909599114,38.50580926463488,22.76657060518732,59.5581171950048,40.4418828049952,Untouched Holdout Season (2025/2026)
MEDIUM,375,21.416333523700743,0.5330512828122246,30.05829390667904,11.956261852693949,28.799999999999997,44.53333333333334,55.46666666666666,Untouched Holdout Season (2025/2026)
HIGH,257,14.677327241576243,0.7235450084961943,31.107993557945974,4.839720520211306,29.571984435797667,38.13229571984436,61.86770428015564,Untouched Holdout Season (2025/2026)
CRITICAL,78,4.454597372929754,0.8416474109182579,32.522994264286545,2.0204837995131637,30.76923076923077,32.05128205128205,67.94871794871796,Untouched Holdout Season (2025/2026)
OVERALL,1751,100.0,0.3419255915619578,26.457835606455614,26.25331327772785,25.41404911479155,51.97030268418047,48.02969731581953,Untouched Holdout Season (2025/2026)
