risk_tier,match_count,pct_of_matches,mean_risk_score,mean_calibrated_P_D,mean_win_gap,actual_draw_rate,v4_0_accuracy,favorite_failure_rate,split
LOW,1045,57.22891566265061,0.150249670765552,24.112935287160287,37.04540245413202,22.00956937799043,60.28708133971292,39.71291866028708,Fold 1 (2021/22)
MEDIUM,438,23.986856516977,0.528611883089061,30.039568684565452,12.058461543475813,31.7351598173516,42.69406392694064,57.30593607305936,Fold 1 (2021/22)
HIGH,273,14.950711938663746,0.7181895676458723,31.055342363559102,4.885037877674867,30.4029304029304,41.39194139194139,58.60805860805861,Fold 1 (2021/22)
CRITICAL,70,3.8335158817086525,0.8414357001889402,32.528483384475706,2.039662368249577,30.0,35.714285714285715,64.28571428571428,Fold 1 (2021/22)
OVERALL,1826,100.0,0.3524146559274697,26.89509899292831,24.901666717958964,25.903614457831324,52.30010952902519,47.69989047097481,Fold 1 (2021/22)
LOW,1111,60.810071154898736,0.13638770685165252,23.607465350729264,38.449722764792725,23.672367236723673,59.135913591359135,40.864086408640865,Fold 2 (2022/23)
MEDIUM,389,21.291735084838535,0.5244595345249313,29.982727460319236,12.114331167352036,25.70694087403599,42.41645244215938,57.58354755784062,Fold 2 (2022/23)
HIGH,251,13.738368910782702,0.7219732413028063,31.081789226378113,4.807921154910974,23.107569721115535,47.01195219123506,52.98804780876494,Fold 2 (2022/23)
CRITICAL,76,4.159824849480022,0.8363532211864755,32.45759756440976,2.0680345627304653,28.947368421052634,35.526315789473685,64.47368421052632,Fold 2 (2022/23)
OVERALL,1827,100.0,0.3285821727529068,26.359869456727115,26.707211632421913,24.247400109469076,52.92829775588396,47.07170224411604,Fold 2 (2022/23)
LOW,1091,62.2716894977169,0.13075267587586537,23.219668080461975,38.52268300485437,24.56461961503208,61.3198900091659,38.6801099908341,Fold 3 (2023/24)
MEDIUM,399,22.773972602739725,0.5306141498395347,29.820405706724966,11.4394348923501,28.32080200501253,43.859649122807014,56.140350877192986,Fold 3 (2023/24)
HIGH,214,12.214611872146119,0.7223213353827838,31.064953301352528,4.7916095293322645,30.8411214953271,41.1214953271028,58.8785046728972,Fold 3 (2023/24)
CRITICAL,48,2.73972602739726,0.8368160223008854,32.62972934294498,2.5179573314845674,33.33333333333333,31.25,68.75,Fold 3 (2023/24)
OVERALL,1752,100.0,0.3134190353932087,25.938999296642734,27.24820095407087,26.426940639269407,54.05251141552512,45.94748858447488,Fold 3 (2023/24)
LOW,1092,62.328767123287676,0.1284661692211321,23.039959537897474,39.626898238603594,23.168498168498168,60.16483516483516,39.83516483516484,Fold 4 (2024/25)
MEDIUM,378,21.575342465753426,0.5339857711391006,29.956409925506268,11.687961658717308,24.867724867724867,45.5026455026455,54.4973544973545,Fold 4 (2024/25)
HIGH,210,11.986301369863012,0.7199043362888685,31.070523998408838,4.918966696006104,31.428571428571427,38.57142857142858,61.42857142857142,Fold 4 (2024/25)
CRITICAL,72,4.10958904109589,0.8483590795070763,32.57119060917046,1.987820966112254,33.33333333333333,38.88888888888889,61.11111111111111,Fold 4 (2024/25)
OVERALL,1752,100.0,0.31643461337056406,25.886469481022573,27.891968321502077,24.942922374429223,53.538812785388124,46.461187214611876,Fold 4 (2024/25)
