fixture_id,scheduled_kickoff,league,home_team,away_team,v4_p_H,v4_p_D,v4_p_A,v4_decision,candidate_p_H,candidate_p_D,candidate_p_A,candidate_decision,v4_goal_pred,candidate_goal_pred,draw_risk_tier,prediction_timestamp
420587320,2026-08-24T16:30:00.000000Z,Serie A,Bologna,Lazio,0.421,0.278,0.3,H,0.399,0.3166,0.2844,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420587324,2026-08-24T17:30:00.000000Z,La Liga,Osasuna,Levante,0.417,0.251,0.332,H,0.396,0.2887,0.3153,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420587329,2026-08-24T18:45:00.000000Z,Serie A,Roma,Fiorentina,0.568,0.22,0.212,H,0.5414,0.2565,0.2021,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420587333,2026-08-24T19:00:00.000000Z,Premier League,Fulham,Chelsea,0.419,0.271,0.31,H,0.397,0.3092,0.2938,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420587334,2026-08-24T19:30:00.000000Z,La Liga,Málaga,Deportivo A Coruña,0.426,0.261,0.313,H,0.4041,0.299,0.2969,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420591039,2026-08-25T19:00:00.000000Z,La Liga,Valencia,Real Betis,0.379,0.28,0.341,H,0.3588,0.3183,0.3228,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420591236,2026-08-26T19:00:00.000000Z,La Liga,Real Madrid,Real Sociedad,0.672,0.165,0.163,H,0.6455,0.1979,0.1566,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420579222,2026-08-27T18:30:00.000000Z,La Liga,Celta de Vigo,Osasuna,0.394,0.253,0.353,H,0.3741,0.2908,0.3351,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420591557,2026-08-27T19:00:00.000000Z,La Liga,FC Barcelona,Athletic Club,0.636,0.173,0.191,H,0.6102,0.2066,0.1832,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420591910,2026-08-28T17:00:00.000000Z,La Liga,Racing Santander,Elche,0.453,0.255,0.292,H,0.43,0.2928,0.2772,H,2-1,2-1,MEDIUM,2026-08-24T11:51:20.207460+00:00
420591966,2026-08-28T18:30:00.000000Z,Bundesliga,FC Bayern München,VfB Stuttgart,0.673,0.154,0.172,H,0.6482,0.1861,0.1657,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420591974,2026-08-28T18:45:00.000000Z,Ligue 1,LOSC Lille,Paris Saint Germain,0.355,0.274,0.372,A,0.336,0.312,0.3521,A,1-2,1-2,MEDIUM,2026-08-24T11:51:20.207460+00:00
420591973,2026-08-28T18:45:00.000000Z,Serie A,AC Milan,Venezia,0.565,0.204,0.231,H,0.5397,0.2397,0.2206,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420592005,2026-08-28T19:00:00.000000Z,Premier League,Crystal Palace,Manchester City,0.241,0.225,0.534,A,0.2296,0.2618,0.5087,A,1-2,1-2,LOW,2026-08-24T11:51:20.207460+00:00
420592009,2026-08-28T19:30:00.000000Z,La Liga,Deportivo Alavés,Villarreal,0.368,0.262,0.37,A,0.349,0.3,0.3509,A,1-2,1-2,MEDIUM,2026-08-24T11:51:20.207460+00:00
420592461,2026-08-29T11:30:00.000000Z,Premier League,Liverpool,Nottingham Forest,0.519,0.216,0.265,H,0.4949,0.2523,0.2527,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420592587,2026-08-29T13:30:00.000000Z,Bundesliga,RB Leipzig,Borussia Mönchengladbach,0.601,0.196,0.203,H,0.5747,0.2312,0.1941,H,2-1,2-1,LOW,2026-08-24T11:51:20.207460+00:00
420592583,2026-08-29T13:30:00.000000Z,Bundesliga,Elversberg,Bayer 04 Leverkusen,0.32,0.245,0.435,A,0.3041,0.2825,0.4134,A,1-2,1-2,MEDIUM,2026-08-24T11:51:20.207460+00:00
