fold,candidate,accuracy_pct,log_loss,brier_score,home_precision_pct,draw_precision_pct,away_precision_pct,home_recall_pct,draw_recall_pct,away_recall_pct,home_f1_pct,draw_f1_pct,away_f1_pct,macro_f1_pct,mean_calibration_ece,home_ece,draw_ece,away_ece
Fold 1 (2021/22),V4.0 Baseline,52.3,0.9987,0.5952,53.51,0.0,50.22,79.0,0.0,59.09,63.81,0.0,54.3,39.37,0.0282,0.0275,0.0273,0.0297
Fold 1 (2021/22),Candidate 1: Temperature Scaling,52.3,1.0004,0.596,53.51,0.0,50.22,79.0,0.0,59.09,63.81,0.0,54.3,39.37,0.0313,0.026,0.0393,0.0286
Fold 1 (2021/22),Candidate 2: Vector Scaling,51.53,1.003,0.5977,55.93,0.0,46.23,71.83,0.0,66.43,62.89,0.0,54.52,39.14,0.0337,0.0346,0.021,0.0454
Fold 1 (2021/22),Candidate 3: Multinomial Logistic Calibration,22.45,1.4011,0.8529,26.45,0.0,19.27,27.4,0.0,34.27,26.92,0.0,24.67,17.2,0.2038,0.2966,0.015,0.2999
Fold 1 (2021/22),Candidate 4: Platt Calibrated Draw (Step 2D/2E),52.35,0.997,0.5948,53.66,50.0,50.15,78.87,0.63,58.92,63.87,1.25,54.18,39.77,0.0215,0.0282,0.0128,0.0234
Fold 1 (2021/22),Candidate 5: Coherent Score-Space Bivariate Matrix,52.3,0.9975,0.5947,53.51,0.0,50.22,79.0,0.0,59.09,63.81,0.0,54.3,39.37,0.0252,0.0282,0.0206,0.027
Fold 2 (2022/23),V4.0 Baseline,52.93,0.9913,0.5904,56.75,0.0,46.79,76.53,0.0,59.74,65.17,0.0,52.48,39.22,0.0262,0.0237,0.0172,0.0378
Fold 2 (2022/23),Candidate 1: Temperature Scaling,52.93,0.9919,0.5908,56.75,0.0,46.79,76.53,0.0,59.74,65.17,0.0,52.48,39.22,0.0292,0.0248,0.0221,0.0408
Fold 2 (2022/23),Candidate 2: Vector Scaling,52.38,0.9948,0.5932,57.63,0.0,45.1,73.29,0.0,62.84,64.52,0.0,52.51,39.01,0.0319,0.0471,0.0097,0.039
Fold 2 (2022/23),Candidate 3: Multinomial Logistic Calibration,23.37,1.4069,0.8582,29.13,0.0,19.25,26.59,0.0,37.34,27.8,0.0,25.4,17.73,0.204,0.3076,0.0092,0.2952
Fold 2 (2022/23),Candidate 4: Platt Calibrated Draw (Step 2D/2E),52.82,0.9915,0.5912,56.71,0.0,46.71,76.41,0.0,59.56,65.1,0.0,52.36,39.15,0.033,0.0378,0.0316,0.0296
Fold 2 (2022/23),Candidate 5: Coherent Score-Space Bivariate Matrix,52.93,0.9894,0.5899,56.75,0.0,46.79,76.53,0.0,59.74,65.17,0.0,52.48,39.22,0.0216,0.029,0.0009,0.0348
Fold 3 (2023/24),V4.0 Baseline,54.05,0.9799,0.5819,55.14,0.0,52.13,81.72,0.0,61.8,65.85,0.0,56.56,40.8,0.037,0.0257,0.0407,0.0445
Fold 3 (2023/24),Candidate 1: Temperature Scaling,54.05,0.9799,0.5818,55.14,0.0,52.13,81.72,0.0,61.8,65.85,0.0,56.56,40.8,0.0354,0.0209,0.043,0.0422
Fold 3 (2023/24),Candidate 2: Vector Scaling,54.05,0.9731,0.5788,55.36,0.0,51.79,81.46,0.0,62.17,65.92,0.0,56.51,40.81,0.0239,0.017,0.0246,0.0301
Fold 3 (2023/24),Candidate 3: Multinomial Logistic Calibration,19.63,1.4316,0.8746,22.24,0.0,18.09,19.21,0.0,37.27,20.61,0.0,24.36,14.99,0.2178,0.311,0.0205,0.3219
Fold 3 (2023/24),Candidate 4: Platt Calibrated Draw (Step 2D/2E),54.11,0.9751,0.5802,55.14,100.0,52.22,81.72,0.22,61.8,65.85,0.43,56.6,40.96,0.0256,0.0311,0.0102,0.0354
Fold 3 (2023/24),Candidate 5: Coherent Score-Space Bivariate Matrix,54.05,0.9758,0.5805,55.14,0.0,52.13,81.72,0.0,61.8,65.85,0.0,56.56,40.8,0.0317,0.0292,0.0267,0.0394
Fold 4 (2024/25),V4.0 Baseline,53.54,0.9824,0.5844,53.71,0.0,53.24,80.57,0.0,59.59,64.46,0.0,56.23,40.23,0.0293,0.0254,0.0263,0.0361
Fold 4 (2024/25),Candidate 1: Temperature Scaling,53.54,0.9825,0.5845,53.71,0.0,53.24,80.57,0.0,59.59,64.46,0.0,56.23,40.23,0.0307,0.0291,0.028,0.0348
Fold 4 (2024/25),Candidate 2: Vector Scaling,53.48,0.9785,0.5828,53.89,0.0,52.81,80.03,0.0,60.1,64.41,0.0,56.22,40.21,0.0167,0.0199,0.0083,0.0219
Fold 4 (2024/25),Candidate 3: Multinomial Logistic Calibration,21.63,1.4441,0.8753,22.97,0.0,20.78,21.2,0.0,38.51,22.05,0.0,27.0,16.35,0.2088,0.3068,0.003,0.3166
Fold 4 (2024/25),Candidate 4: Platt Calibrated Draw (Step 2D/2E),53.48,0.9803,0.5841,53.67,0.0,53.32,80.43,0.0,59.59,64.38,0.0,56.28,40.22,0.0209,0.0146,0.0111,0.0372
Fold 4 (2024/25),Candidate 5: Coherent Score-Space Bivariate Matrix,53.54,0.979,0.5831,53.71,0.0,53.24,80.57,0.0,59.59,64.46,0.0,56.23,40.23,0.021,0.0217,0.0129,0.0284
