fixture_id,kickoff,league,home_team,away_team,prediction_timestamp,status,v40_p_home,v40_p_draw,v40_p_away,v40_prediction,candidate_p_home,candidate_p_draw,candidate_p_away,candidate_prediction,v40_expected_home_goals,v40_expected_away_goals,candidate_expected_home_goals,candidate_expected_away_goals,candidate_predicted_home_goals,candidate_predicted_away_goals,candidate_predicted_score,draw_risk_score,draw_risk_tier,actual_home_goals,actual_away_goals,actual_result,v40_correct,candidate_correct
420581351,12:15 AM IST,Ligue 1,Olympique Marseille,Strasbourg,2026-08-22T00:00:00Z,FT,0.509,0.232,0.259,H,0.4999,0.263,0.2371,H,1.65,1.05,1.62,1.03,1,1,1-1,0.2081,LOW,4.0,0.0,H,True,True
420581362,12:30 AM IST,Premier League,Arsenal,Coventry City,2026-08-22T00:00:00Z,FT,0.62,0.184,0.196,H,0.523,0.2523,0.2247,H,1.65,1.05,1.62,1.03,1,1,1-1,0.065,LOW,3.0,0.0,H,True,True
420581363,12:30 AM IST,La Liga,Real Betis,Real Sociedad,2026-08-22T00:00:00Z,FT,0.543,0.222,0.236,H,0.5068,0.2607,0.2325,H,1.65,1.05,1.62,1.03,1,1,1-1,0.177,LOW,1.0,0.0,H,True,True
420581845,05:00 PM IST,Premier League,Hull City,Manchester United,2026-08-22T00:00:00Z,FT,0.342,0.262,0.396,A,0.2692,0.2728,0.458,A,1.1,1.6,1.08,1.57,1,1,1-1,0.6765,HIGH,2.0,0.0,H,False,False
420582048,07:30 PM IST,Premier League,Nottingham Forest,Leeds United,2026-08-22T00:00:00Z,FT,0.454,0.245,0.301,H,0.4887,0.2658,0.2454,H,1.65,1.05,1.62,1.03,1,1,1-1,0.4093,MEDIUM,0.0,1.0,A,False,False
420582049,07:30 PM IST,Premier League,Ipswich Town,Sunderland,2026-08-22T00:00:00Z,FT,0.316,0.271,0.413,A,0.2639,0.2747,0.4613,A,1.1,1.6,1.08,1.57,1,1,1-1,0.5673,MEDIUM,2.0,1.0,H,False,False
420582050,07:30 PM IST,Premier League,Everton,Crystal Palace,2026-08-22T00:00:00Z,FT,0.44,0.258,0.303,H,0.4857,0.2686,0.2457,H,1.65,1.05,1.62,1.03,1,1,1-1,0.4708,MEDIUM,2.0,0.0,H,True,True
420582189,08:30 PM IST,La Liga,Athletic Club,Sevilla,2026-08-22T00:00:00Z,FT,0.455,0.252,0.293,H,0.4889,0.2673,0.2438,H,1.65,1.05,1.62,1.03,1,1,1-1,0.4177,MEDIUM,1.0,3.0,A,False,False
420582220,08:45 PM IST,Ligue 1,Lens,Auxerre,2026-08-22T00:00:00Z,FT,0.61,0.195,0.195,H,0.5208,0.2548,0.2244,H,1.65,1.05,1.62,1.03,1,1,1-1,0.0946,LOW,5.0,2.0,H,True,True
420582255,10:00 PM IST,Serie A,Inter,Monza,2026-08-22T00:00:00Z,FT,0.789,0.108,0.103,H,0.5592,0.2346,0.2062,H,1.65,1.05,1.62,1.03,1,1,1-1,0.065,LOW,4.0,1.0,H,True,True
420582256,10:00 PM IST,Premier League,Brentford,Tottenham Hotspur,2026-08-22T00:00:00Z,FT,0.422,0.243,0.335,H,0.4824,0.2654,0.2523,H,1.65,1.05,1.62,1.03,1,1,1-1,0.4973,MEDIUM,3.0,0.0,H,True,True
420582254,10:00 PM IST,Serie A,Udinese,Como,2026-08-22T00:00:00Z,FT,0.292,0.275,0.432,A,0.2592,0.2756,0.4652,A,1.1,1.6,1.08,1.57,1,1,1-1,0.5187,MEDIUM,1.0,1.0,D,False,False
420582269,11:00 PM IST,La Liga,Valencia,Celta de Vigo,2026-08-22T00:00:00Z,FT,0.464,0.264,0.272,H,0.4906,0.2699,0.2395,H,1.65,1.05,1.62,1.03,1,1,1-1,0.4112,MEDIUM,0.0,0.0,D,False,False
420582305,12:15 AM IST,Ligue 1,Nice,Lorient,2026-08-22T00:00:00Z,FT,0.393,0.265,0.341,H,0.4764,0.2702,0.2534,H,1.65,1.05,1.62,1.03,1,1,1-1,0.689,HIGH,0.0,0.0,D,False,False
420582304,12:15 AM IST,Ligue 1,Toulouse,Olympique Lyonnais,2026-08-22T00:00:00Z,FT,0.338,0.267,0.395,A,0.2684,0.2739,0.4578,A,1.1,1.6,1.08,1.57,1,1,1-1,0.6872,HIGH,0.0,2.0,A,True,True
420582303,12:15 AM IST,Ligue 1,Troyes,Paris,2026-08-22T00:00:00Z,FT,0.226,0.233,0.541,A,0.2462,0.2665,0.4874,A,1.1,1.6,1.08,1.57,1,1,1-1,0.2111,LOW,0.0,0.0,D,False,False
420582302,12:15 AM IST,Serie A,Genoa,Napoli,2026-08-22T00:00:00Z,FT,0.277,0.263,0.46,A,0.2562,0.273,0.4708,A,1.1,1.6,1.08,1.57,1,1,1-1,0.421,MEDIUM,0.0,2.0,A,True,True
420582301,12:15 AM IST,Serie A,Parma,Cagliari,2026-08-22T00:00:00Z,FT,0.353,0.274,0.373,A,0.2713,0.2754,0.4533,A,1.1,1.6,1.08,1.57,1,1,1-1,0.7606,HIGH,0.0,1.0,A,True,True
420582306,12:15 AM IST,Ligue 1,Le Mans,Brest,2026-08-22T00:00:00Z,FT,0.458,0.26,0.281,H,0.4895,0.2691,0.2414,H,1.65,1.05,1.62,1.03,1,1,1-1,0.421,MEDIUM,2.0,2.0,D,False,False
420582312,01:00 AM IST,La Liga,Espanyol,Real Madrid,2026-08-22T00:00:00Z,FT,0.255,0.226,0.518,A,0.2521,0.265,0.4829,A,1.1,1.6,1.08,1.57,1,1,1-1,0.1906,LOW,1.0,2.0,A,True,True
420583619,06:30 PM IST,Ligue 1,Angers SCO,LOSC Lille,2026-08-22T00:00:00Z,FT,0.222,0.245,0.533,A,0.2453,0.2691,0.4856,A,1.1,1.6,1.08,1.57,1,1,1-1,0.3274,LOW,0.0,2.0,A,True,True
