fixture_id,league,home_team,away_team,source_fixture_date,scheduled_kickoff_utc,scheduled_kickoff_ist,selected_matchday_date,discovery_status,prediction_status
420581845,Premier League,Hull City,Manchester United,2026-08-22,2026-08-22T11:30:00.000000Z,2026-08-22 05:00 PM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582048,Premier League,Nottingham Forest,Leeds United,2026-08-22,2026-08-22T14:00:00.000000Z,2026-08-22 07:30 PM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582049,Premier League,Ipswich Town,Sunderland,2026-08-22,2026-08-22T14:00:00.000000Z,2026-08-22 07:30 PM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582050,Premier League,Everton,Crystal Palace,2026-08-22,2026-08-22T14:00:00.000000Z,2026-08-22 07:30 PM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582189,La Liga,Athletic Club,Sevilla,2026-08-22,2026-08-22T15:00:00.000000Z,2026-08-22 08:30 PM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582220,Ligue 1,Lens,Auxerre,2026-08-22,2026-08-22T15:15:00.000000Z,2026-08-22 08:45 PM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582256,Premier League,Brentford,Tottenham Hotspur,2026-08-22,2026-08-22T16:30:00.000000Z,2026-08-22 10:00 PM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582255,Serie A,Inter,Monza,2026-08-22,2026-08-22T16:30:00.000000Z,2026-08-22 10:00 PM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582254,Serie A,Udinese,Como,2026-08-22,2026-08-22T16:30:00.000000Z,2026-08-22 10:00 PM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582269,La Liga,Valencia,Celta de Vigo,2026-08-22,2026-08-22T17:30:00.000000Z,2026-08-22 11:00 PM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582302,Serie A,Genoa,Napoli,2026-08-22,2026-08-22T18:45:00.000000Z,2026-08-23 12:15 AM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582303,Ligue 1,Troyes,Paris,2026-08-22,2026-08-22T18:45:00.000000Z,2026-08-23 12:15 AM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582304,Ligue 1,Toulouse,Olympique Lyonnais,2026-08-22,2026-08-22T18:45:00.000000Z,2026-08-23 12:15 AM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582306,Ligue 1,Le Mans,Brest,2026-08-22,2026-08-22T18:45:00.000000Z,2026-08-23 12:15 AM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582301,Serie A,Parma,Cagliari,2026-08-22,2026-08-22T18:45:00.000000Z,2026-08-23 12:15 AM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582305,Ligue 1,Nice,Lorient,2026-08-22,2026-08-22T18:45:00.000000Z,2026-08-23 12:15 AM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420582312,La Liga,Espanyol,Real Madrid,2026-08-22,2026-08-22T19:30:00.000000Z,2026-08-23 01:00 AM IST,2026-08-22,MATCHES_SOURCE_DATE,SUCCESS
420583623,Premier League,Brighton & Hove Albion,Aston Villa,2026-08-23,2026-08-23T13:00:00.000000Z,2026-08-23 06:30 PM IST,2026-08-23,MATCHES_SOURCE_DATE,SUCCESS
420583619,Ligue 1,Angers SCO,LOSC Lille,2026-08-23,2026-08-23T13:00:00.000000Z,2026-08-23 06:30 PM IST,2026-08-23,MATCHES_SOURCE_DATE,SUCCESS
420583622,Premier League,Manchester City,AFC Bournemouth,2026-08-23,2026-08-23T13:00:00.000000Z,2026-08-23 06:30 PM IST,2026-08-23,MATCHES_SOURCE_DATE,SUCCESS
420583743,La Liga,Atlético de Madrid,Villarreal,2026-08-23,2026-08-23T15:00:00.000000Z,2026-08-23 08:30 PM IST,2026-08-23,MATCHES_SOURCE_DATE,SUCCESS
